"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_E01","CO_E02","CO_E03","CO_E04","CO_E05","CO_E06","CO_E07","Basicweight"
4,3,1,1,1,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,8,,,,32.3729260273973
4,3,1,1,1,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,1,,,,32.3729260273973
4,3,1,1,1,1,1,8,"Poste de sante cg Farumasi",0,1,,,,32.3729260273973
5,4,1,1,1,1,5,20,"Aho basharija/bakora telefoni",1,,2019,1,1,10.1755732217573
5,4,1,1,1,1,5,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,2,,,,10.1755732217573
5,4,1,1,1,1,5,3,"Ibigo by!amashuri yisumbuye",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,10,"Amasoko",0,3,,,,10.1755732217573
5,4,1,1,1,1,5,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,16,"Aho abantu babonera Internet",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,13,"Ibigo by!imari iciriritse",0,2,,,,10.1755732217573
5,4,1,1,1,1,5,1,"Ibigo by!amashuri y!incuke",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,12,"Amashami ya Banki",0,2,,,,10.1755732217573
5,4,1,1,1,1,5,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,2,"Ibigo by!amashuri yibanza",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,6,"Amavuriro y!igenga",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,5,"Aho bategera Bus",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,5,,,,10.1755732217573
5,4,1,1,1,1,5,15,"Ibiro by!iposita",0,10,,,,10.1755732217573
5,4,1,1,1,1,5,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,2,,,,10.1755732217573
5,4,1,1,1,1,5,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,7,,,,10.1755732217573
5,4,1,1,1,1,5,11,"Amakusanyirizo y!amata",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,8,"Poste de sante cg Farumasi",0,1,,,,10.1755732217573
5,4,1,1,1,1,5,17,"Imiryango itari ibigo by!imari itari iya leta",0,10,,,,10.1755732217573
5,4,1,1,1,1,5,9,"Ibitaro",0,5,,,,10.1755732217573
5,4,1,1,1,1,5,14,"Poste ya polisi",0,2,,,,10.1755732217573
5,4,1,1,1,1,5,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,10.1755732217573
6,5,1,1,1,1,1,15,"Ibiro by!iposita",0,2,,,,34.7765724137931
6,5,1,1,1,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,16,"Aho abantu babonera Internet",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,13,"Ibigo by!imari iciriritse",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,12,"Amashami ya Banki",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,3,"Ibigo by!amashuri yisumbuye",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,3,,,,34.7765724137931
6,5,1,1,1,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,20,"Aho basharija/bakora telefoni",5,,2003,1,1,34.7765724137931
6,5,1,1,1,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,2,,,,34.7765724137931
6,5,1,1,1,1,1,2,"Ibigo by!amashuri yibanza",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,14,"Poste ya polisi",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,8,"Poste de sante cg Farumasi",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,4,,,,34.7765724137931
6,5,1,1,1,1,1,9,"Ibitaro",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,4,,,,34.7765724137931
6,5,1,1,1,1,1,10,"Amasoko",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,5,"Aho bategera Bus",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,6,"Amavuriro y!igenga",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,11,"Amakusanyirizo y!amata",0,1,,,,34.7765724137931
6,5,1,1,1,1,1,1,"Ibigo by!amashuri y!incuke",0,1,,,,34.7765724137931
7,6,1,1,1,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,8,,,,22.7114407894737
7,6,1,1,1,1,1,22,"Kiliziya/Umusigiti/Urusengero",2,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,16,"Aho abantu babonera Internet",2,,2017,1,1,22.7114407894737
7,6,1,1,1,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,6,,,,22.7114407894737
7,6,1,1,1,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,3,,,,22.7114407894737
7,6,1,1,1,1,1,14,"Poste ya polisi",0,2,,,,22.7114407894737
7,6,1,1,1,1,1,5,"Aho bategera Bus",1,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",3,,2010,1,1,22.7114407894737
7,6,1,1,1,1,1,3,"Ibigo by!amashuri yisumbuye",1,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,2,,,,22.7114407894737
7,6,1,1,1,1,1,2,"Ibigo by!amashuri yibanza",1,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,15,"Ibiro by!iposita",0,1,,,,22.7114407894737
7,6,1,1,1,1,1,1,"Ibigo by!amashuri y!incuke",2,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,13,"Ibigo by!imari iciriritse",1,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,9,"Ibitaro",0,3,,,,22.7114407894737
7,6,1,1,1,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",5,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",1,,2018,1,1,22.7114407894737
7,6,1,1,1,1,1,10,"Amasoko",0,2,,,,22.7114407894737
