"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","K1A","K1B","K1C","K1D","K2A","K2B","K2C","K2D","K3A","K3B","K3C","K3D","K4A","K4B","K4C","K4D","K5A","K5B","K5C","K5D","K6A","K6B","K6C","K6D","K7A","K7B","K7C","K7D","K8A","K8B","K8C","K8D","K9A","K9B","K9C","K9D","L1A","L2A","L3A","L4A_1","L4A_2","L4A_3","L4A_4","L4A_5","L5A","L6A","L7A","L8A","L9A","L1B","L2B","L3B","L4B_1","L4B_2","L4B_3","L4B_4","L4B_5","L5B","L6B","L7B","L8B","L9B","L1C","L2C","L3C","L4C_1","L4C_2","L4C_3","L4C_4","L4C_5","L5C","L6C","L7C","L8C","L9C","L1D","L2D","L3D","L4D_1","L4D_2","L4D_3","L4D_4","L4D_5","L5D","L6D","L7D","L8D","L9D","L1E","L2E","L3E","L4E_1","L4E_2","L4E_3","L4E_4","L4E_5","L5E","L6E","L7E","L8E","L9E","hhid","camp","ref_weight"
1,11,3,2,15,1,179.50659375,,,,,30,,65,,480,,0,,0,,0,,0,,480,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,110301501,,
1,11,3,2,16,1,1566.603,,,,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,2,2,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,110301601,,
1,11,3,2,17,1,1566.603,,,,,120,0,0,,120,0,60,,0,0,0,,0,0,0,,0,0,240,,0,0,0,,0,0,0,,0,0,0,,0,,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,110301701,,
1,11,3,2,18,1,1566.603,,,,,30,82,0,0,30,0,0,0,0,0,0,0,480,0,480,0,0,30,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110301801,,
1,11,4,1,1,1,262.5804,,,,,10,0,,,30,0,,,120,0,,,0,0,,,30,0,,,0,0,,,0,0,,,0,0,,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110400101,,
1,11,4,1,2,1,262.5804,,,,,60,,0,,120,,60,,0,,0,,600,,700,,60,,120,,0,,0,,120,,120,,60,,120,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110400201,,
1,11,4,1,3,1,262.5804,,,,,120,,0,0,30,,30,0,0,,30,0,300,,600,0,60,,60,60,0,,0,30,45,,60,90,30,,60,90,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110400301,,
1,11,4,1,4,1,262.5804,,,,,90,90,0,,40,0,20,,60,0,0,,60,0,420,,0,30,90,,0,30,0,,0,0,30,,0,0,0,,2,0,0,,,,,,0,0,0,,0,2,0,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0,110400401,,
1,11,4,1,5,1,262.5804,,,,,20,0,0,,60,120,30,,30,0,0,,600,0,660,,30,0,60,,0,0,30,,60,120,60,,30,60,60,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110400501,,
1,11,4,1,6,1,262.5804,,,,,90,,100,,20,,20,,0,,40,,0,,360,,0,,60,,0,,0,,60,,60,,240,,60,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,,0,110400601,,
1,11,4,1,7,1,262.5804,,,,,120,,0,,60,,30,,0,,0,,0,,360,,30,,30,,0,,0,,120,,30,,120,,30,,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,2,2,0,,,,,,0,0,0,,0,110400701,,
1,11,4,1,8,1,262.5804,,,,,60,,,,0,,,,30,,,,120,,,,120,,,,0,,,,0,,,,0,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110400801,,
1,11,4,1,9,1,262.5804,,,,,10,10,0,,20,45,30,,60,0,20,,0,0,450,,45,45,60,,0,60,0,,120,120,220,,250,140,140,,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,110400901,,
1,11,4,1,10,1,262.5804,,,,,120,,0,0,30,,15,0,30,,10,0,0,,60,0,30,,60,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110401001,,
1,11,4,1,11,1,262.5804,,,,,15,0,0,0,120,0,540,180,120,120,60,120,600,0,660,0,300,120,120,300,120,600,300,600,120,120,180,120,120,120,180,120,0,,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,110401101,,
1,11,4,1,12,1,262.5804,,,,,15,,0,,25,,35,,60,,30,,420,,420,,45,,0,,0,,0,,60,,60,,60,,120,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,110401201,,
