"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","F11","F12","F13","F14","F15","F16","hhid","camp","ref_weight"
1,11,6,1,15,1,504.2603,5,0,,,,,110601501,,
1,11,6,1,16,1,504.2603,3,0,,,,,110601601,,
1,11,6,1,17,1,504.2603,6,0,,,,,110601701,,
1,11,6,1,18,1,504.2603,3,0,,,,,110601801,,
1,11,7,1,1,1,191.7855,2,0,,,,,110700101,,
1,11,7,1,2,1,191.7855,6,0,,,,,110700201,,
1,11,7,1,3,1,191.7855,1,0,,,,,110700301,,
1,11,7,1,4,1,191.7855,7,0,,,,,110700401,,
1,11,7,1,5,1,191.7855,2,0,,,,,110700501,,
1,11,7,1,6,1,191.7855,6,0,,,,,110700601,,
1,11,7,1,7,1,191.7855,2,0,,,,,110700701,,
1,11,7,1,8,1,191.7855,2,0,,,,,110700801,,
1,11,7,1,9,1,191.7855,4,0,,,,,110700901,,
1,11,7,1,10,1,191.7855,1,0,,,,,110701001,,
1,11,7,1,11,1,191.7855,2,0,,,,,110701101,,
1,11,7,1,12,1,191.7855,3,0,,,,,110701201,,
1,11,7,1,13,1,191.7855,4,0,,,,,110701301,,
1,11,7,1,14,1,191.7855,5,0,,,,,110701401,,
1,11,7,1,15,1,191.7855,7,0,,,,,110701501,,
1,11,7,1,16,1,191.7855,2,0,,,,,110701601,,
1,11,7,1,17,1,191.7855,5,0,,,,,110701701,,
1,11,7,1,18,1,191.7855,6,0,,,,,110701801,,
1,11,8,1,1,1,709.7715,6,0,,,,,110800101,,
1,11,8,1,2,1,709.7715,4,0,,,,,110800201,,
1,11,8,1,3,1,709.7715,6,0,,,,,110800301,,
1,11,8,1,4,1,709.7715,3,0,,,,,110800401,,
1,11,8,1,5,1,709.7715,5,0,,,,,110800501,,
1,11,8,1,6,1,709.7715,3,0,,,,,110800601,,
1,11,8,1,7,1,709.7715,2,0,,,,,110800701,,
1,11,8,1,8,1,709.7715,5,0,,,,,110800801,,
1,11,8,1,9,1,709.7715,7,0,,,,,110800901,,
1,11,8,1,10,1,709.7715,6,0,,,,,110801001,,
1,11,8,1,11,1,709.7715,6,0,,,,,110801101,,
1,11,8,1,12,1,709.7715,1,1,1,30,100,,110801201,,
1,11,8,1,13,1,709.7715,2,0,,,,,110801301,,
1,11,8,1,14,1,709.7715,2,0,,,,,110801401,,
1,11,8,1,15,1,709.7715,7,0,,,,,110801501,,
1,11,8,1,16,1,709.7715,5,0,,,,,110801601,,
1,11,8,1,17,1,709.7715,6,0,,,,,110801701,,
1,11,8,1,18,1,57.7326100478469,3,0,,,,,110801801,,
1,11,9,1,2,1,450.0009,5,0,,,,,110900201,,
1,11,9,1,4,1,450.0009,6,0,,,,,110900401,,
1,11,9,1,5,1,450.0009,1,0,,,,,110900501,,
1,11,9,1,6,1,450.0009,1,0,,,,,110900601,,
1,11,9,1,7,1,450.0009,4,0,,,,,110900701,,
1,11,9,1,8,1,450.0009,3,0,,,,,110900801,,
1,11,9,1,9,1,450.0009,2,0,,,,,110900901,,
1,11,9,1,10,1,450.0009,1,0,,,,,110901001,,
1,11,9,1,11,1,450.0009,1,1,8,8,100,,110901101,,
1,11,9,1,12,1,450.0009,2,0,,,,,110901201,,
1,11,9,1,13,1,450.0009,1,0,,,,,110901301,,
1,11,9,1,14,1,450.0009,2,0,,,,,110901401,,
1,11,9,1,15,1,450.0009,7,0,,,,,110901501,,
1,11,9,1,16,1,450.0009,5,0,,,,,110901601,,
1,11,9,1,17,1,450.0009,1,0,,,,,110901701,,
1,11,9,1,18,1,450.0009,1,0,,,,,110901801,,
1,11,9,1,19,1,29.1105703504043,1,0,,,,,110901901,,
1,11,9,1,20,1,29.1105703504043,5,0,,,,,110902001,,
1,11,10,1,2,1,581.4858,5,0,,,,,111000201,,
1,11,10,1,3,1,581.4858,4,0,,,,,111000301,,
1,11,10,1,4,1,581.4858,6,0,,,,,111000401,,
1,11,10,1,5,1,45.3452229357798,6,0,,,,,111000501,,
1,11,10,1,6,1,581.4858,6,0,,,,,111000601,,
1,11,10,1,7,1,581.4858,4,0,,,,,111000701,,
1,11,10,1,8,1,581.4858,5,0,,,,,111000801,,
1,11,10,1,9,1,581.4858,4,0,,,,,111000901,,
1,11,10,1,10,1,581.4858,3,0,,,,,111001001,,
1,11,10,1,11,1,581.4858,4,0,,,,,111001101,,
1,11,10,1,12,1,581.4858,4,0,,,,,111001201,,
1,11,10,1,13,1,581.4858,5,0,,,,,111001301,,
1,11,10,1,14,1,581.4858,6,0,,,,,111001401,,
1,11,10,1,15,1,581.4858,6,0,,,,,111001501,,
1,11,10,1,16,1,581.4858,5,0,,,,,111001601,,
1,11,10,1,17,1,581.4858,7,0,,,,,111001701,,
1,11,10,1,18,1,581.4858,2,0,,,,,111001801,,
1,11,10,1,19,1,581.4858,6,0,,,,,111001901,,
1,11,11,1,1,1,486.8112,4,0,,,,,111100101,,
1,11,11,1,2,1,486.8112,6,0,,,,,111100201,,
1,11,11,1,3,1,486.8112,5,0,,,,,111100301,,
1,11,11,1,4,1,486.8112,5,0,,,,,111100401,,
1,11,11,1,5,1,486.8112,4,0,,,,,111100501,,
1,11,11,1,6,1,486.8112,4,0,,,,,111100601,,
1,11,11,1,7,1,486.8112,6,0,,,,,111100701,,
1,11,11,1,8,1,486.8112,3,0,,,,,111100801,,
1,11,11,1,9,1,486.8112,6,0,,,,,111100901,,
1,11,11,1,10,1,486.8112,7,0,,,,,111101001,,
1,11,11,1,11,1,486.8112,7,0,,,,,111101101,,
1,11,11,1,12,1,486.8112,4,0,,,,,111101201,,
1,11,11,1,13,1,486.8112,7,0,,,,,111101301,,
