Country,Parameter,Value,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
Rwanda,DEFAULT_RATE,0.05,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.1,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.15,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.2,0.7337195137117672,0.11306890061902213,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.25,0.730228368641185,0.11656004568960417,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.3,0.7276399907544763,0.11914842357631306,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,100000.0,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,200000.0,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,300000.0,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,400000.0,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,500000.0,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,ETA,0.4,0.7420011568205188,0.10478725751027047,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,ETA,0.6,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,ETA,1.0,0.7344859833041344,0.11230243102665483,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,ETA,1.5,0.7344859833041344,0.11230243102665483,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,ETA,2.0,0.7337195137117672,0.11306890061902213,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.1,0.7421683131091746,0.10462010122161462,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.2,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.3,0.7344859833041344,0.11230243102665483,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.4,0.7344859833041344,0.11230243102665483,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.5,0.734431471035119,0.11235694329567038,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.01,0.5713548753803839,0.27543353895040534,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.05,0.685335977397589,0.16145243693320022,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.1,0.7295212612678487,0.1172671530629406,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.15,0.7344859833041344,0.11230243102665483,0.15321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.18339567813502683,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,PRINCIPAL_MODE,0.0,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.964767393980372,1520387.9078892116
Rwanda,PRINCIPAL_MODE,1.0,0.661209116482912,0.18557929784787736,0.15321158566921056,0.964767393980372,1520387.9078892116
North-West Nigeria,DEFAULT_RATE,0.05,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.1,0.5569240588700223,0.43390251653225675,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.15,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.2,0.43249370903280354,0.5583328663694754,0.009173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.25,0.36398860206989947,0.6268379733323796,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.3,0.3374162941917071,0.6534102812105719,0.009173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,100000.0,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,200000.0,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,300000.0,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,400000.0,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,500000.0,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,ETA,0.4,0.5542754069161488,0.4365511684861301,0.00917342459772108,0.6256495501963971,3284361.25
North-West Nigeria,ETA,0.6,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,ETA,1.0,0.4460287244014346,0.5447978510008444,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,ETA,1.5,0.37444838648846995,0.616378188913809,0.009173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,ETA,2.0,0.3006146423930286,0.6902119330092504,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.1,0.55778163199565,0.433044943406629,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.2,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.3,0.3919829644658181,0.5988436109364609,0.009173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.4,0.35623323133645796,0.6345933440658211,0.009173424597720914,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.5,0.32817077971358527,0.6626557956886937,0.009173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.01,0.016796687727231908,0.9740298876750471,0.009173424597721035,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.05,0.13125226353260375,0.8595743118696753,0.009173424597720997,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.1,0.31258127078797865,0.6782453046143003,0.009173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.15,0.36398860206989947,0.6268379733323796,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.2,0.4675236010048534,0.5233029743974257,0.009173424597720914,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.2363783805976269,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,PRINCIPAL_MODE,0.0,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,PRINCIPAL_MODE,1.0,0.08494763179555753,0.9058789436067215,0.00917342459772097,0.6256495501963971,3284361.25
