"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_F01","CO_F01_YON","CO_F02","CO_F02B","CO_F02_OTHER","CO_F03","CO_F04","CO_F05","CO_F06","Basicweight"
9,8,1,1,1,1,1,2,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,3,1,4,,,888,0,,,19.4070469002695
9,8,1,1,1,1,1,9,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,7,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,8,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,4,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,6,1,1,,,300,1,200,250,19.4070469002695
9,8,1,1,1,1,1,5,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,13,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,12,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,1,1,1,,,1660,0,,,19.4070469002695
9,8,1,1,1,1,1,11,0,,,,,,,,19.4070469002695
9,8,1,1,1,1,1,10,0,,,,,,,,19.4070469002695
10,9,1,1,1,1,1,1,1,1,,,1660,1,1500,1600,45.3452229357798
10,9,1,1,1,1,1,2,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,10,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,5,1,5,6,,1100,1,1000,1050,45.3452229357798
10,9,1,1,1,1,1,8,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,12,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,9,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,13,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,4,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,11,0,,,,,,,,45.3452229357798
10,9,1,1,1,1,1,6,1,8,33,,11000,1,10000,10500,45.3452229357798
10,9,1,1,1,1,1,3,1,4,,,888,0,,,45.3452229357798
10,9,1,1,1,1,1,7,0,,,,,,,,45.3452229357798
11,10,1,1,1,1,1,11,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,4,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,1,1,1,,,1667,1,1400,1500,24.2731346260388
11,10,1,1,1,1,1,10,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,7,1,2,,,1000,0,,,24.2731346260388
11,10,1,1,1,1,1,5,1,5,7,,1200,1,1080,1100,24.2731346260388
11,10,1,1,1,1,1,13,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,3,1,4,,,888,0,,,24.2731346260388
11,10,1,1,1,1,1,12,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,6,1,7,1,,300,1,250,300,24.2731346260388
11,10,1,1,1,1,1,8,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,2,0,,,,,,,,24.2731346260388
11,10,1,1,1,1,1,9,0,,,,,,,,24.2731346260388
12,11,1,2,2,1,1,11,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,4,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,3,1,4,,,888,0,,,30.805986784141
12,11,1,2,2,1,1,8,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,5,1,555,0,15,0,0,,,30.805986784141
12,11,1,2,2,1,1,12,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,2,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,10,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,9,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,6,1,8,34,,13000,1,10000,10500,30.805986784141
12,11,1,2,2,1,1,7,0,,,,,,,,30.805986784141
12,11,1,2,2,1,1,1,1,1,,,1666,1,1450,1650,30.805986784141
12,11,1,2,2,1,1,13,0,,,,,,,,30.805986784141
13,12,1,2,2,1,1,3,1,4,,,888,0,,,13.4902167539267
13,12,1,2,2,1,1,7,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,13,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,2,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,5,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,4,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,11,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,12,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,10,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,6,1,1,,,300,1,230,250,13.4902167539267
13,12,1,2,2,1,1,1,1,1,,,1250,1,1100,1300,13.4902167539267
13,12,1,2,2,1,1,8,0,,,,,,,,13.4902167539267
13,12,1,2,2,1,1,9,0,,,,,,,,13.4902167539267
14,13,1,2,1,1,2,10,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,12,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,4,1,3,,,250,0,,,27.6634577777778
14,13,1,2,1,1,2,6,1,1,,,350,1,300,320,27.6634577777778
14,13,1,2,1,1,2,2,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,9,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,11,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,5,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,8,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,1,1,1,,,1500,1,1250,1333,27.6634577777778
14,13,1,2,1,1,2,7,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,13,0,,,,,,,,27.6634577777778
14,13,1,2,1,1,2,3,1,4,,,888,0,,,27.6634577777778
15,14,1,2,1,1,1,11,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,4,1,3,,,100,0,,,20.4148122137405
15,14,1,2,1,1,1,8,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,2,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,13,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,5,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,10,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,7,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,12,0,,,,,,,,20.4148122137405
15,14,1,2,1,1,1,1,1,1,,,1500,0,,,20.4148122137405
15,14,1,2,1,1,1,9,0,,,,,,,,20.4148122137405
