"Cluster","HL_ID","CI01","CI02","CI06","CI07","CI08","HL_B01","HL_B02","HL_B04","HL_B05","HL_B06","HL_B07","HL_B08","HL_B11","HL_B12","HL_B13","HL_B14A","HL_B14B","HL_B15A","HL_B15","HL_B16A","HL_B16B","HL_B17A","HL_B17B","HL_B18","HL_B19","HL_B20","HL_B21","HL_B22","HL_B23","HL_B24","HL_B25","HL_B26","HL_B26_UNITY","HL_B27","HL_B28A","HL_B28B","HL_B29","HL_B30","HL_B31A","HL_B31B","HL_B32","HL_B33_1","HL_B33_2","HL_B33_3","HL_B34","HL_B35","HL_B36","HL_B37","HL_B38","HL_B39","HL_B40","HL_B41","HL_B42","HL_B43","HL_B44","HL_B45","HL_B46","HL_B47","HL_B48","HL_B49","HL_B50","HL_B51","HL_B52A","HL_B52B","HL_B53","HL_B54","HL_B55","HL_B56","HL_B57","HL_B58","HL_B59","HL_B60","HL_B61A","HL_B61B","HL_B61C","HL_B61D","HL_B62A","HL_B62B","HL_B62C","HL_B62D","HL_B63A","HL_B63B","HL_B63C","HL_B63D","HL_B64A","HL_B64B","HL_B64C","HL_B64D","HL_B65A","HL_B65B","HL_B65C","HL_B65D","HL_B66A","HL_B66B","HL_B66C","HL_B66D","HL_B67A","HL_B67B","HL_B67C","HL_B67D","HL_B68A","HL_B68B","HL_B68C","HL_B68D","HL_B69A","HL_B69B","HL_B69C","HL_B69D","HL_B70A","HL_B70B","HL_B70C","HL_B70D","HL_B71A","HL_B71B","HL_B71C","HL_B71D","HL_B72A","HL_B72B","HL_B72C","HL_B72D","HL_B73A","HL_B73B","HL_B73C","HL_B73D","HL_B74A","HL_B74B","HL_B74C","HL_B74D","HL_B75A","HL_B75B","HL_B75C","HL_B75D","HL_B76A","HL_B76B","HL_B76C","HL_B76D","HL_B77A","HL_B77B","HL_B77C","HL_B77D","HL_B78A","HL_B78B","HL_B78C","HL_B78D","HL_B79A","HL_B79B","HL_B79C","HL_B79D","HL_B80A","HL_B80B","HL_B80C","HL_B80D","HL_B81A","HL_B81B","HL_B81C","HL_B81D","HL_B82A","HL_B82B","HL_B82C","HL_B82D","HL_B83A","HL_B83B","HL_B83C","HL_B83D","HL_B84A","HL_B84B","HL_B84C","HL_B84D","HL_B85A","HL_B85B","HL_B85C","HL_B85D","HL_B86A","HL_B86B","HL_B86C","HL_B86D","HL_B87A","HL_B87B","HL_B87C","HL_B87D","HL_B88A","HL_B88B","HL_B88C","HL_B88D","HL_B89A","HL_B89B","HL_B89C","HL_B89D","HL_B90A","HL_B90B","HL_B90C","HL_B90D","HL_B91A","HL_B91B","HL_B91C","HL_B91D","HL_B92A","HL_B92B","HL_B92C","HL_B92D","HL_B93A","HL_B93B","HL_B93C","HL_B93D","HL_B94_01","HL_B94_02","HL_B94_03","HL_B94_04","HL_B94_05","HL_B94_06","HL_B94_07","HL_B94_08","HL_B94_09","HL_B94_10","HL_B94_11","HL_B94_12","HL_B94_13","HL_B94_14","HL_B94_15","HL_B94_16","HL_B94_17","HL_B94_18","HL_B94_19","HL_B94_20","HL_B94_21","HL_B94_22","HL_B94_23","HL_B94_24","HL_B94_25","HL_B94_26","HL_B94_27","HL_B94_28","HL_B94_29","HL_B94_30","HL_B94_31","HL_B94_32","HL_B94_33","HL_B95","HL_B95_OTHER","HL_B96","HL_B97","Basicweight"
20,11,1,2,2,3,1,"14:23","08/06/2022",2,6,20,5,,1,1,32,150,10,12,1,,,,,1,,1,24,0,,1,1,30,2,0,1,199980,1,180000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,,,0,,3,1,50,1,0,1,8,1,0,0,,,,1,5,1,0,1,1,1,0,0,,,,1,13,1,0,1,4,1,0,1,4,1,0,0,,,,0,,,,0,,,,1,2,1,1,0,,,,0,,,,0,,,,0,,,,1,4,888,0,1,1,1,1,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,2,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,2," ",1,"14:45",39.7495568493151
21,12,1,2,1,3,1,"11:40","10/06/2022",2,6,4,5,,1,1,44,4500,2,12,1,,,,,1,,1,24,0,,1,1,20,2,0,1,999990,2,300000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,0,,,,1,15,2,1,0,,,,0,,,,1,1,1,0,0,,,,1,13,1,0,1,3,1,0,1,8,3,0,1,1,2,0,0,,,,0,,,,1,3,1,0,0,,,,1,1,1,0,1,1,1,1,0,,,,1,2,1,0,0,,,,1,1,3,0,1,1,3,0,1,1,1,0,1,3,1,0,1,1,3,0,1,4,3,0,0,,,,1,2,3,0,1,20,1,0,0,,,,0,,,,0,,,,0,,,,1,1,3,0,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2," ",1,"12:01",92.4598432989691
24,13,1,2,1,3,1,"16:40","10/06/2022",1,6,3,5,,2,1,350,100,140,12,1,,,,,1,,1,21,0,,1,4,40,2,0,1,2700000,1,2700000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,,,1,3,555,0,,,,1,70,888,1,1,67,888,1,0,,,,1,1,888,0,1,1,888,0,1,50,888,0,1,20,888,0,1,1,888,0,1,20,888,1,1,20,888,0,1,20,888,0,1,18,888,0,0,,,,0,,,,1,20,888,0,0,,,,1,10,888,0,1,1,888,1,0,,,,1,10,888,0,1,1,888,0,1,10,888,0,1,6,888,0,1,10,888,0,1,12,888,0,1,20,888,0,1,4,888,0,1,10,888,1,0,,,,1,2,888,0,1,2,888,0,1,1,888,0,,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,2," ",1,"16:44",21.1205211428571
26,14,1,2,1,3,1,"16:43","10/06/2022",1,6,6,5,,1,1,60,1500,19,12,1,,,,,1,,1,24,0,,1,2,1,1,0,1,450000,1,150000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,1,45,1,1,1,10,1,0,0,,,,1,1,1,0,0,,,,0,,,,1,14,2,0,1,4,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,4,2,0,0,,,,0,,,,1,26,2,0,0,,,,1,1,888,0,0,,,,0,,,,1,3,2,0,1,1,2,0,1,1,2,0,0,,,,1,5,2,0,0,,,,1,2,2,0,0,,,,0,,,,0,,,,0,,,,1,1,2,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,"in plan",1,"17:24",15.1199458740018
29,15,1,2,1,3,2,"18:09","10/06/2022",2,7,7,5,,1,3,42,200,15,12,1,,,,,1,,1,24,0,,1,0,,2,,1,450000,1,450000,300,1,0,1,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,0,,5,0,,,,1,15,1,0,0,,,,0,,,,1,1,1,0,0,,,,1,10,1,0,1,3,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,1,20,1,0,0,,,,1,4,888,0,1,1,1,0,0,,,,1,3,1,0,1,2,1,0,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,2,3,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"17:52",65.775825
29,16,1,2,1,3,3,"17:28","10/06/2022",2,6,8,4,,4,2,40,80,0,12,0,700,1200,1200,1700,1,,1,10,0,,1,0,,2,,1,210000,1,600000,300,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,0,,,,1,10,1,0,0,,,,0,,,,1,1,1,0,1,1,1,0,1,15,1,0,1,1,1,1,1,2,1,1,1,1,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,1,25,1,0,0,,,,0,,,,1,5,1,0,0,,,,0,,,,0,,,,0,,,,1,5,1,0,0,,,,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,1,0,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1," ",0,"17:51",65.775825
30,17,1,2,2,3,1,"11:57","07/06/2022",2,6,18,5,,1,1,27,60,16,12,1,,,,,1,,1,24,1,2,1,1,180,2,0,1,150000,1,180000,264,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,5,1,41,1,1,1,30,1,1,0,,,,0,,,,0,,,,0,,,,1,9,1,0,1,1,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,5,1,0,0,,,,1,1,3,0,0,,,,1,1,1,0,1,4,888,0,1,1,1,0,0,,,,1,2,1,0,1,1,1,0,1,2,1,0,0,,,,1,2,3,0,0,,,,1,2,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2," ",1,"11:53",27.3053669724771
34,18,1,2,2,3,2,"07:56","08/06/2022",2,6,4,5,,1,1,34,150,0,12,1,,,,,1,,1,24,0,,1,2,30,2,0,1,600000,1,600000,888,1,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,1,3,7,0,,,,1,6,1,0,0,,,,1,22,1,0,0,,,,1,1,1,0,1,9,1,0,1,2,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,5,1,1,0,,,,0,,,,1,20,1,0,0,,,,1,2,3,0,1,3,1,0,0,,,,1,2,1,0,1,1,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,555,"It's not planned",1,"08:40",48.7433
35,19,1,3,1,3,1,"12:05","09/06/2022",2,6,17,5,,1,1,32,170,16,12,1,,,,,1,,1,24,0,,1,0,,2,,1,199980,1,300000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,,,1,3,7,1,29,1,1,1,76,1,0,0,,,,0,,,,1,3,1,0,0,,,,1,15,1,0,1,4,1,0,1,5,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,0,,,,1,1,1,0,1,8,888,0,0,,,,0,,,,1,2,1,0,1,1,1,0,1,2,1,0,0,,,,0,,,,0,,,,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2," ",1,"12:47",39.1813092105263
37,20,1,3,1,3,1,"10:44","10/06/2022",1,6,4,5,,1,1,39,150,54,12,1,,,,,1,,1,24,0,,1,0,,2,,1,300000,1,349980,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,1,60,1,1,0,,,,0,,,,1,1,1,0,1,1,1,0,1,12,3,1,1,2,1,1,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,2,888,0,0,,,,1,1,1,0,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,2,1,0,1,2,1,0,0,,,,0,,,,1,1,888,0,0,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,555,"It's not planned",1,"11:06",13.9474928131417
39,21,1,3,1,3,5,"10:08","09/06/2022",2,6,3,5,,1,555,42,150,6,12,1,,,,,1,,1,24,1,3,1,1,45,2,0,1,150000,1,450000,220,1,1,,,,,,,,,,,,,,,,,,,,,,1,555,1,0,,,,1,3,7,0,,,,1,5,1,0,1,10,1,0,1,4,1,0,1,1,1,0,1,3,1,0,1,16,1,0,1,3,1,0,1,6,1,0,0,,,,1,1,1,1,0,,,,1,2,1,1,0,,,,0,,,,0,,,,0,,,,1,3,3,1,1,1,1,1,0,,,,1,3,1,1,1,1,1,0,1,1,1,0,0,,,,1,3,3,0,0,,,,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,1,1,1,0,,,,,,,,,,,1,,1,,,,,1,1,,1,,,,,,,,,,,,,555,"donation",1,"11:01",28.5102728323699
40,22,1,3,1,3,1,"10:42","08/06/2022",2,4,6,2,,1,1,30,200,20,12,1,,,,,1,,1,24,0,,1,0,,2,,1,199980,1,600000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,1,99,2,0,1,30,2,0,0,,,,0,,,,1,3,2,0,0,,,,1,15,2,0,1,5,2,0,1,1,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,99,2,0,0,,,,1,5,3,0,1,2,2,0,0,,,,1,2,2,0,1,1,2,0,1,1,2,1,0,,,,0,,,,0,,,,1,4,2,0,1,30,3,0,0,,,,0,,,,0,,,,1,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,555,"in plan",1,"11:06",46.9627568421053
42,23,1,3,1,3,1,"14:21","10/06/2022",1,6,20,5,,1,1,38,350,16,12,1,,,,,1,,1,24,1,3,1,3,60,2,0,1,600000,1,600000,300,1,1,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,3,0,1,3,3,1,10,888,1,0,,,,0,,,,0,,,,1,1,888,0,1,1,3,1,1,25,3,1,1,4,3,1,1,2,3,0,0,,,,0,,,,0,,,,1,5,888,1,0,,,,0,,,,1,50,3,1,0,,,,1,2,888,1,0,,,,0,,,,1,3,3,1,0,,,,1,1,3,1,0,,,,0,,,,1,6,3,1,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,2,888,1,0,,,,1,,,,,1,1,1,,,,,1,,,1,,1,,,1,,1,,,1,,,,,,1,,3," ",1,"14:58",23.9960368421053
45,24,1,3,1,3,1,"12:59","08/06/2022",2,4,20,555,,1,1,40,150,31,12,1,,,,,1,,1,24,0,,1,2,1,1,0,1,300000,1,450000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,3,1,47,2,0,1,11,2,0,1,8,2,0,0,,,,0,,,,0,,,,1,10,1,0,1,2,1,0,1,2,3,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,50,2,0,1,1,1,0,1,5,2,0,1,2,1,0,0,,,,1,2,1,1,1,2,1,1,1,1,1,0,0,,,,0,,,,0,,,,1,4,3,1,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,555,"It's not planned",1,"13:02",17.1043262068966
47,25,1,3,1,3,1,"10:39","10/06/2022",1,6,9,5,,1,3,53,150,30,12,1,,,,,1,,1,24,0,,1,1,30,2,0,1,219990,1,750000,260,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,5,0,,,,1,20,888,0,0,,,,1,10,2,0,1,1,2,0,1,1,3,0,1,22,3,0,1,4,3,0,1,3,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,20,2,0,0,,,,1,7,2,0,1,2,3,0,0,,,,1,3,3,0,1,1,3,0,1,3,3,0,0,,,,1,6,3,0,0,,,,1,3,3,0,0,,,,0,,,,1,2,3,0,0,,,,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"11:07",88.8850588235294
48,26,1,3,1,3,1,"10:37","08/06/2022",2,6,20,5,,1,1,30,150,14,12,1,,,,,1,,1,24,0,,1,0,,2,,1,150000,1,300000,265,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,0,,,,0,,,,1,40,888,0,1,1,888,0,0,,,,1,10,888,0,1,3,888,0,1,3,3,0,0,,,,0,,,,0,,,,1,5,3,0,0,,,,0,,,,1,40,888,0,0,,,,1,5,2,0,1,2,3,0,0,,,,1,2,3,0,1,1,3,0,1,2,3,0,0,,,,1,4,3,0,0,,,,1,1,3,0,0,,,,0,,,,0,,,,0,,,,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"11:07",24.1846151162791
