"Cluster","ED_ID","CI01","CI02","CI06","CI07","CI08","QE_B04","QE_B05","QE_B06","QE_B07","QE_B08","QE_B11","QE_B11_OTHER","QE_B12","QE_B13","QE_B13A","QE_B14A","QE_B14B","QE_B15A","QE_B15B","QE_B16","QE_B17","QE_B17_OTHER","QE_B18","QE_B18_OTHER","QE_B19","QE_B20","QE_B21","QE_B22","QE_B23","QE_B24A","QE_B24B","QE_B25","QE_B26","QE_B27A","QE_B27A_OTHER","QE_B27B","QE_B28","QE_B28_OTHER","QE_B29","QE_B30A","QE_B30B","QE_B31","QE_B32_1","QE_B32_2","QE_B32_3","QE_B33","QE_B34_1","QE_B34_2","QE_B34_3","QE_B34_4","QE_B35","QE_B36","QE_B37","QE_B38","QE_B39","QE_B40","QE_B40_OTHER","QE_B41","QE_B42","QE_B43","QE_B43_OTHER","QE_B44","QE_B45","QE_B46","QE_B46_OTHER","QE_B47","QE_B48","QE_B48_OTHER","QE_B49","QE_B50","QE_B51A","QE_B51B","QE_B51B_OTHER","QE_B52","QE_B53","QE_B54","QE_B55","QE_B56","QE_B57","QE_B58","QE_B58_OTHER","QE_B59","QE_B59_OTHER","QE_B60A","QE_B60B","QE_B60C","QE_B61A","QE_B61B","QE_B61C","QE_B62A","QE_B62B","QE_B62C","QE_B63A","QE_B63B","QE_B63C","QE_B64A","QE_B64B","QE_B64C","QE_B65A","QE_B65B","QE_B65C","QE_B66A","QE_B66B","QE_B66C","QE_B67A","QE_B67B","QE_B67C","QE_B68A","QE_B68B","QE_B68C","QE_B69A","QE_B69B","QE_B69C","QE_B70A","QE_B70B","QE_B70C","QE_B71A","QE_B71B","QE_B71C","QE_B72A","QE_B72B","QE_B72C","QE_B73A","QE_B73B","QE_B73C","QE_B74A","QE_B74B","QE_B74C","QE_B75A","QE_B75B","QE_B75C","QE_B76A","QE_B76B","QE_B76C","QE_B77A","QE_B77B","QE_B77C","QE_B78A","QE_B78B","QE_B78C","QE_B79_01","QE_B79_02","QE_B79_03","QE_B79_04","QE_B79_05","QE_B79_06","QE_B79_07","QE_B79_08","QE_B79_09","QE_B79_10","QE_B79_11","QE_B79_12","QE_B79_13","QE_B79_14","QE_B79_15","QE_B79_16","QE_B79_17","QE_B79_18","QE_B79_19","QE_B80","QE_B80_OTHER","QE_B81","QE_C01","QE_C02","QE_C03","QE_C04","QE_C05","QE_C06","QE_C06_1","QE_C06_2","QE_C06_3","QE_C06_4","QE_C06_5","QE_C06_6","QE_C06_7","QE_C06_8","QE_C10","QE_C11_1","QE_C11_2","QE_C11_3","QE_C11_4","QE_C11_5","QE_C11_6","QE_C11_7","QE_C11_OTHER","QE_C12_1","QE_C12_2","QE_C12_3","QE_C12_4","QE_C12_5","QE_C12_6","QE_C12_7","QE_C12_OTHER","QE_C12A","QE_C12B","QE_C13","QE_C13_OTHER","QE_C14","QE_C14_OTHER","QE_C15A","QE_C15B","QE_C16A","QE_C16B","QE_C17A","QE_C17A_UNITY","QE_C17B","QE_C17B_UNITY","QE_C18A","QE_C18B","QE_C19","QE_C20A","QE_C20B","QE_C20C","QE_C21","QE_C22","QE_C23","QE_C24","QE_C25","QE_C26","QE_C27_01","QE_C27_02","QE_C27_03","QE_C27_04","QE_C27_05","QE_C27_06","QE_C27_07","QE_C27_08","QE_C27_09","QE_C27_10","QE_C27_11","QE_C27_12","QE_C28","QE_C29","QE_C30","QE_C31","QE_C32_1","QE_C32_2","QE_C32_3","QE_C32_4","QE_C32_5","QE_C32_6","Basicweight"
13,11,1,2,2,2,1,2,6,4,1,4,1," ",39,2134,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",20000,1," ",20000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",1," ",1,22,0,0,,,0,,,0,,,1,1,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,1,2,0,0,,,1,2,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2134,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,9,4,,,90000,,3,0,300,0,1,1,2,1,3,2,,,,1,,,,,,,1,,1,1,,1,,,,1,,,13.4902167539267
14,12,1,2,1,2,1,2,6,4,3,6,2," ",58,2094,12,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",200000,1," ",50000,254,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,4," ",0,0,,,,0,," ",7," ",0,,,0,,,1,3,0,1,50,0,0,,,1,306,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,1,1,0,1,13,0,0,,,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2094,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,33,4,,,363000,,1,0,180,0,2,1,5,1,2,1,,,,,,,,,,,,,1,2,,111,1,,1,1,1,,27.6634577777778
15,13,1,2,1,2,1,2,4,6,1,4,555,"Nursery School",5,45,12,"7h00","17h40","888","888",1,,,1," ",12,0,,1,1,1,60,1,0,1," ",50000,1," ",10000,217,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,0,,,0,,,1,8,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,3,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4148122137405
16,14,1,2,1,2,1,1,4,6,1,7,1," ",6,55,9,"7h00","13h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",50000,3," ",5000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,8,0,0,,,0,,,0,,,0,,,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50649791666667
17,15,1,2,1,2,1,1,5,6,2,8,1," ",33,350,10,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",50000,2," ",250000,268,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,1,24,0,1,1,0,0,,,1,1,0,1,5,0,1,2,0,1,2,0,0,,,1,1,0,0,,,0,,,0,,,1,5,0,1,1,0,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,2,150,1,1,"B",,1,,,,,,,3,1,,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,2,4,,,24000,,2,120,120,90,1,1,3,1,2,1,,,,,,,,,,,,,888,1,,888,,1,1,,,,3.57904556634304
18,16,1,2,2,2,1,2,6,4,4,1,1," ",66,2002,12,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",3500000,1," ",10000,263,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,5," ",0,0,,,,0,," ",5," ",1,5,0,1,12,0,0,,,0,,,0,,,1,200,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,3,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2002,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,25,4,,,250000,,1,0,240,0,2,1,3,1,3,2,,,,,,,,,,,1,,1,1,,888,1,,,1,,,41.0282164502164
19,17,1,2,1,2,1,2,6,4,1,7,4," ",50,1500,10,"6h00","17h00","888","888",1,,,1," ",23,0,,1,4,1,60,2,0,1," ",100000,2," ",35000,265,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",3," ",1,10,0,1,20,0,0,,,0,,,0,,,1,20,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,5,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,319,1,2,"B",,1,,,,,,,2,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,5,4,,,50000,,2,0,240,0,2,1,5,1,3,1,,,,,,,,,,,,,3,2,,888,1,,,,,,19.94468875
20,18,1,2,2,2,1,1,6,4,1,0,1," ",27,961,10,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",10000,1," ",10000,255,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,5,0,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,961,1,2,"B",,1,,,,,,,4,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,12,4,,,120000,,2,0,240,0,1,1,2,1,3,1,,,,,,,,,,,,,888,1,,888,1,,1,1,,,39.7495568493151
21,19,1,2,1,2,1,1,6,3,555,5,2," ",22,150,10,"7h00","14h00","888","888",1,,,1," ",24,1,3,1,0,,,,0,1," ",100000,2," ",1000000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,1,1," ",0,0,,,,0,," ",6," ",0,,,1,20,1,1,30,1,0,,,1,1,0,1,30,0,1,2,1,1,1,0,1,3,1,0,,,0,,,0,,,0,,,1,15,1,0,,,1,2,0,1,4,1,1,1,0,0,,,,1,1,,,,1,,1,,,,,1,,,1,,,2," ",1,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4598432989691
22,20,1,2,1,2,1,1,6,3,3,1,1," ",20,121,10,"7h00","19h00","888","888",1,,,1," ",24,0,,1,1,1,60,2,0,1," ",320000,1," ",50000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",5," ",1,14,0,0,,,0,,,1,8,0,1,2,0,1,4,0,1,3,0,1,3,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,1,0,,,0,,,,,,,,,,1,,,,,,,,,1,,,2," ",0,1,2,121,1,1,"A",1,,,,,,,,3,,,,1,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,4,4,,,44000,,2,120,120,120,1,1,3,1,1,1,,,,,,,,,,,,,888,1,,888,,,,1,,,9.87333272727273
23,21,1,2,1,2,1,2,7,2,1,10,4," ",27,135,10,"7h30","16h00","888","888",1,,,1," ",24,0,,1,1,1,60,2,0,1," ",9000000,1," ",110000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,1,10,1,0,,,1,30,1,0,,,1,30,0,1,3,1,1,4,1,0,,,0,,,0,,,0,,,0,,,1,30,1,0,,,0,,,1,2,1,0,,,0,,,,1,,1,,,1,1,,,,,,1,,,1,,,2," ",0,1,3,123,1,1,"A",1,,,,,,,,6,,1,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,7,4,,,84000,,2,120,120,120,2,1,4,1,3,1,,,,,,,,,,,,,888,1,,888,,,,1,,,15.03859
24,22,1,2,1,2,1,2,3,6,3,6,1," ",58,1284,9,"7h15","16h30","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",400000,1," ",350000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,1,4," ",5," ",0,,,1,13,0,1,20,0,0,,,0,,,1,77,0,1,4,0,1,2,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,1,1,0,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,2,344,1,1,"B",,1,,,,,,,3,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,10,4,,,100000,,2,60,300,120,2,1,3,1,3,1,,,,,,,,,,,,,1,2,,888,,,,,,555,21.1205211428571
25,23,1,2,1,2,1,2,3,6,4,8,1," ",20,954,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,1,1,60,888,0,1," ",50000,555,"comptable",102000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",1,0,,,,0,," ",7," ",1,3,0,0,,,0,,,0,,,0,,,1,3,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,12,0,0,,,0,,,0,,,1,11,0,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,274,1,2,"A",1,,,,,,,,2,,,1,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,2,4,,,26000,,3,0,60,0,1,1,5,1,3,1,,,,,,,,,,,,,888,555,,888,,,,,,555,16.7416508571429
26,24,1,2,1,2,1,1,6,4,1,1,1," ",30,530,9,"7h00","16h30","888","888",1,,,1," ",24,0,,1,1,2,120,1,0,1," ",50000,1," ",40000,888,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,2," ",0,0,,,,0,," ",7," ",0,,,1,14,0,0,,,0,,,1,1,0,1,6,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,,1,10,0,0,,,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,2,80,1,1,"A",1,,,,,,,,6,,1,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,3,4,,,30000,,2,60,180,60,1,1,2,2,3,1,,,,,,,,,,,,,888,1,,2,,1,,,,,15.1199458740018
27,25,1,2,1,2,1,1,7,2,555,6,2," ",108,4700,9,"6h20","17h00","888","888",1,,,1," ",24,0,,1,1,0,30,2,0,1," ",7500000,555,"comptable",1350000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",5," ",1,30,0,1,20,0,0,,,0,,,1,2,0,1,16,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,0,1,5,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2988,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,40,4,,,400000,,3,0,180,0,2,1,6,1,2,1,,,,,,,,,,,,,1,1,,888,,,1,,,,4.12082943262411
28,26,1,2,1,2,3,2,6,4,4,4,4," ",69,3157,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",200000,555,"The facility",240000,250,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,555,"Funds available",0,0,,,,0,," ",5," ",0,,,1,5,0,0,,,1,20,0,0,,,1,35,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,5,0,0,,,0,,,1,3,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,1560,1,1,"A",1,,,,,,,,6,,,,,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,20,4,,,220000,,1,0,888,0,2,3,,1,3,1,,,,,,,,,,,,,888,1,,111,,1,,,1,555,11.2538897515528
29,27,1,2,1,2,1,1,6,4,1,5,2," ",60,2856,12,"7h00","17h00","888","888",1,,,1," ",12,0,,1,0,,,,0,1," ",200000,1," ",200000,888,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",5," ",0,,,1,2,0,1,15,0,0,,,0,,,1,105,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,38,0,0,,,0,,,1,7,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2008,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,29,4,,,290000,,2,0,360,0,2,1,5,1,2,1,,,,,,,,,,,,,2,2,,888,,,,,,555,65.775825
