"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
90,81,2,5,2,1,1,4,"14:18","13/06/2022",2,42,6,8,,124.678725925926
90,81,2,5,2,1,1,3,"14:17","13/06/2022",1,38,11,4,,124.678725925926
90,81,2,5,2,1,1,2,"14:16","13/06/2022",1,40,3,999,,124.678725925926
90,81,2,5,2,1,1,1,"14:13","13/06/2022",1,44,1,999,,124.678725925926
91,82,2,5,2,1,1,1,"16:13","14/06/2022",1,35,1,999,,5.83359555555556
91,82,2,5,2,1,1,3,"16:13","14/06/2022",2,46,2,999,,5.83359555555556
91,82,2,5,2,1,1,2,"16:13","14/06/2022",1,36,3,999,,5.83359555555556
92,83,2,5,1,1,1,2,"10:31","18/06/2022",1,43,1,999,,6.58144009096816
92,83,2,5,1,1,1,3,"10:32","18/06/2022",1,39,3,999,,6.58144009096816
92,83,2,5,1,1,1,1,"10:31","18/06/2022",1,37,4,999,,6.58144009096816
93,84,2,5,2,1,1,1,"14:48","18/06/2022",2,34,2,999,,6.03000852631579
93,84,2,5,2,1,1,3,"14:50","18/06/2022",1,35,3,999,,6.03000852631579
93,84,2,5,2,1,1,2,"14:49","18/06/2022",1,40,1,999,,6.03000852631579
94,85,2,5,2,1,1,3,"10:43","13/06/2022",1,30,4,999,,5.1029127090301
94,85,2,5,2,1,1,2,"10:42","13/06/2022",1,31,3,999,,5.1029127090301
94,85,2,5,2,1,1,1,"10:41","13/06/2022",1,44,1,999,,5.1029127090301
95,86,2,5,2,1,1,2,"17:33","13/06/2022",1,42,9,999,,8.59660148148148
95,86,2,5,2,1,1,1,"17:32","13/06/2022",2,48,1,999,,8.59660148148148
96,87,2,5,2,1,1,1,"11:10","14/06/2022",2,47,1,999,,5.64209608695652
96,87,2,5,2,1,1,2,"11:11","14/06/2022",1,36,3,999,,5.64209608695652
96,87,2,5,2,1,1,3,"11:12","14/06/2022",2,46,2,999,,5.64209608695652
97,88,2,5,2,1,1,2,"16:07","14/06/2022",2,37,2,999,,4.88795216326531
97,88,2,5,2,1,1,1,"16:06","14/06/2022",1,40,1,999,,4.88795216326531
97,88,2,5,2,1,1,3,"16:07","14/06/2022",1,40,3,999,,4.88795216326531
98,89,2,5,2,1,1,2,"15:03","17/06/2022",1,35,1,999,,7.90328774193548
98,89,2,5,2,1,1,1,"15:02","17/06/2022",1,57,4,999,,7.90328774193548
98,89,2,5,2,1,1,3,"15:03","17/06/2022",1,35,3,999,,7.90328774193548
99,90,2,5,2,1,1,3,"08:36","20/06/2022",2,40,2,999,,134.667481889764
99,90,2,5,2,1,1,2,"08:36","20/06/2022",1,36,3,999,,134.667481889764
99,90,2,5,2,1,1,1,"08:35","20/06/2022",1,38,1,999,,134.667481889764
100,91,2,5,2,1,1,2,"16:49","20/06/2022",1,35,3,999,,179.081928947368
100,91,2,5,2,1,1,1,"16:49","20/06/2022",2,25,1,999,,179.081928947368
100,91,2,5,2,1,1,3,"16:50","20/06/2022",1,40,4,999,,179.081928947368
101,92,2,5,2,1,1,2,"14:02","16/06/2022",1,55,1,999,,11.0025058064516
101,92,2,5,2,1,1,1,"14:02","16/06/2022",2,24,4,999,,11.0025058064516
102,93,2,5,1,1,1,3,"14:50","15/06/2022",1,40,3,999,,6.93965068493151
102,93,2,5,1,1,1,2,"14:50","15/06/2022",2,35,11,999,,6.93965068493151
102,93,2,5,1,1,1,1,"14:49","15/06/2022",1,55,1,999,,6.93965068493151
103,94,2,5,2,1,1,2,"10:48","15/06/2022",1,39,3,999,,7.06769470588235
103,94,2,5,2,1,1,1,"10:48","15/06/2022",2,34,4,999,,7.06769470588235
103,94,2,5,2,1,1,3,"10:49","15/06/2022",2,55,1,999,,7.06769470588235
104,95,2,5,2,1,1,2,"09:43","16/06/2022",1,43,3,999,,11.688666
104,95,2,5,2,1,1,3,"09:44","16/06/2022",2,37,2,999,,11.688666
