"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","M01_01","M01_02","M01_03","M01_04","M01_05","M01_06","M01_07","M01_08","M01_09","M01_10","M01_11","M01_12","M01_OTHER","M02_01","M02_02","M02_03","M02_04","M02_OTHER","M03","M04","M04_OTHER","N01","N02","N11_01","N11_02","N11_03","N11_04","N11_05","N11_06","N11_07","N11_08","N11_09","N11_10","N11_11","N11_13","N11_14","N11_15","N11_16","N11_17","N11_18","N11_20","N11_21","N11_22","N11_23","N11_24","N11_26","N11_27","N11_28","N11_29","N11_30","N11_31","N11_32","N11_33","N11_34","N11_35","N11_37","hhid","camp","ref_weight"
1,11,2,2,22,1,221.941,1,,1,,,,,,,,,," ",1,,,,,1,1," ","01",1,"01"," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110202201,,
1,11,3,2,1,1,179.50659375,,1,1,,,,,,,,,," ",1,,,,,,2," ","01",1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110300101,,
1,11,3,2,2,1,179.50659375,,1,,,,,,,,,,," ",1,,,,,,2," ","01",1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110300201,,
1,11,3,2,3,1,1566.603,1,,1,,,,,,,,,," ",1,,,,,2,2," ","01",1,"01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110300301,,
1,11,3,2,4,1,179.50659375,1,,1,1,,,,,,,,," ",1,,,,,3,2," ","02",1,"0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110300401,,
1,11,3,2,5,1,1566.603,,,,,,,,,,,1,," ",1,,,,,2,2," ","01",1," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102"," "," "," "," "," "," ",110300501,,
1,11,3,2,6,1,179.50659375,,,1,,,,,,,,,," ",1,,,,,,4," ","01",2," "," "," "," ","01","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110300601,,
1,11,3,2,7,1,179.50659375,,1,1,1,,,,,,,,," ",1,,,,,,2," ","01",1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110300701,,
1,11,3,2,8,1,179.50659375,,1,1,,,,,,,,,," ",1,,,,,,2," ","01",1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110300801,,
1,11,3,2,9,1,1566.603,1,,1,,,,,,,,,," ",1,,,,,1,2," ","01",1,"01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110300901,,
1,11,3,2,10,1,1566.603,1,,1,,,,,,,,,," ",1,,,,,2,1," ","02",2,"0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110301001,,
1,11,3,2,11,1,1566.603,1,,,,,,,,,,,," ",1,,,,,2,1," ","02",1," "," ","0102"," ","0102","02"," ","0102"," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102"," ","0102"," "," "," "," "," ",110301101,,
1,11,3,2,12,1,1566.603,1,,,,,,,,,,,," ",1,,,,,2,1," ","02",1," "," ","0102"," "," ","0102"," ","0102"," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," ","02","01","01"," ","0102"," "," "," "," "," ",110301201,,
1,11,3,2,13,1,1566.603,1,,,,,,,,,,,," ",1,,,,,2,2," ","02",2," "," ","0102"," "," ","02","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," ","0102"," "," "," "," "," ",110301301,,
1,11,3,2,14,1,179.50659375,,1,1,,,,,,,,,," ",1,,,,,,1," ","01",1," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110301401,,
1,11,3,2,15,1,179.50659375,,1,1,,,,,,,,1,," ",1,,,,,,3," ","02",1," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110301501,,
1,11,3,2,16,1,1566.603,1,,,1,,1,1,,,,,," ",1,,,,,2,1," ","02",2,"0102"," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110301601,,
1,11,3,2,17,1,1566.603,1,,1,,,,,,,,,," ",1,,,,,2,2," ","02",1,"0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110301701,,
1,11,3,2,18,1,1566.603,1,,1,,,,,,,,,," ",1,,,,,1,2," ","02",1,"0102"," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","02"," "," "," "," "," "," "," ",110301801,,
1,11,4,1,1,1,262.5804,1,,,,,,,,,,,," ",1,,,,,1,2," ","01",1,"01"," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110400101,,
1,11,4,1,2,1,262.5804,1,,1,,,,,,,,,," ",1,,,,,2,1," ","02",4," "," ","0102"," "," "," ","01"," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110400201,,
1,11,4,1,3,1,262.5804,1,,,1,,,,,,1,,," ",1,,,,,2,2," ","02",1," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","02"," ","02"," "," "," "," "," ",110400301,,
1,11,4,1,4,1,262.5804,,1,,,,,,,,,,," ",,,,555,6,3,2," ","03",2,"0102"," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102"," ","0102"," "," "," "," "," ",110400401,,
1,11,4,1,5,1,262.5804,,,,,,,,1,,1,,," ",,,1,,,1,2," ","03",1," "," ","0102"," "," "," "," "," "," ","0102"," ","02"," "," "," "," "," "," "," "," "," "," ","0102"," ","0102","0102"," ","01"," "," "," "," "," ",110400501,,
1,11,4,1,6,1,262.5804,,1,,,,,,,,,,," ",,,,555,6,1,2," ","02",2," "," ","0102"," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," ","0102"," "," "," "," ",110400601,,
