"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","G01","G02","G02A","G02B","G28","G29","G30","G31","G32","G33","G34","G35A","G35B","G36A","G36B","G37A","G37B","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G48_AREA_OTHER","G49_SQUARE","G49_L","G49_W","G49_CERCLE","G50","G51","G52","G53","G54","G54_OTHER","G55_1","G55_2","G55_3","G55_4","G55_5","G55_6","G55_7","G55_8","G55_9","G55_10","G55_OTHER","hhid","camp","ref_weight"
1,11,2,2,16,1,221.941,"02",120,2,,,,,,,,,0,,0,,0,,888,1,5,5,888,2,3,2,1,1,1,,3,,,,1,4,2,1,4,,,,,,,,,,,," ",110201601,,
1,11,2,2,18,1,221.941,"02",150,2,,,,,,,,,1,0,1,0,0,,1,1,1,5,2,1,5,2,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110201801,,
1,11,2,2,22,1,221.941,"01",60,1,,,,,,,,,1,888,1,4,0,,3,1,3,1,1,3,1,4,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110202201,,
1,11,3,2,1,1,179.50659375,"01",120,2,,,,,,,,,1,0,1,2,0,,888,2,888,4,4,4,4,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110300101,,
1,11,3,2,2,1,179.50659375,"01",40,2,,,,,,,,,0,,1,4,0,,3,888,3,3,2,3,888,3,0,,,,,,,,,,,,555,6,,,,,,,,,,," ",110300201,,
1,11,3,2,3,1,1566.603,"01",60,2,,,,,,,,,0,,1,2,0,,888,2,888,4,4,888,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110300301,,
1,11,3,2,4,1,179.50659375,"02",120,2,,,,,,,,,1,0,1,0,0,,888,2,2,2,4,4,1,4,1,0,2,,,3,2,,1,2,1,1,2,,,,,,,,,,,," ",110300401,,
1,11,3,2,5,1,1566.603,"01",120,1,,,,,,,,,0,,1,4,0,,1,1,2,2,2,2,4,5,1,1,1,,2,,,,1,2,1,0,5,,,,,,,,,,,," ",110300501,,
1,11,3,2,6,1,179.50659375,"01",40,2,,1,1,1,1,1,1,1,0,,0,,0,,2,1,4,2,2,2,2,2,0,,,,,,,,,,,,5,,,,,,,,,,,," ",110300601,,
1,11,3,2,7,1,179.50659375,"01",120,2,,,,,,,,,0,,0,,0,,4,2,2,2,2,2,3,1,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110300701,,
