"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","D1","D_TIER","D_PRICE","D2","D3","D4","D5","D6","D7","D07_OTHER","E00A","E01A","E01B","E01C","E02A","E02B","E02C","E03A","E03B","E03C","E04A","E04B","E04C","E05A","E05B","E05C","E06A","E06B","E06C","E07A","E07B","E07C","E08A","E08B","E09A","E09B","E09C","E10A","E10B","E10C","E11A","E11B","E13A","E13B","E14A","E14B","E15A","E15B","E16A","E16B","E17A","E17B","E18A","E18B","E20A","E20B","E21A","E21B","E22A","E22B","E23A","E23B","E24A","E24B","E26A","E26B","E27A","E27B","E28A","E28B","E29A","E29B","E30A","E30B","E30C","E31A","E31B","E31C","E32A","E32B","E32C","E33A","E33B","E34A","E34B","E35A","E35B","E37A","E37B","E38","E38_OTHER","F01","F10","F10_OTHER","hhid","camp","ref_weight"
1,11,2,2,2,1,221.941,,,," ",,,,,,,1,4,1,5,0,,,0,,,0,,,0,,,1,1,4,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,1,1,0,0,,,0,,0,,0,,0,,2,,"02",1,,110200201,,
1,11,2,2,3,1,105.421975,111,1,82500,"01",0,0,0,1,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,7,"02",111,,110200301,,
1,11,2,2,4,1,105.421975,111,1,82500,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,1,1,1,1,1,6,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",6,,110200401,,
1,11,2,2,5,1,105.421975,111,2,245000,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,7,"01",111,,110200501,,
1,11,2,2,6,1,105.421975,,,," ",,,,,,,0,0,,,0,,,0,,,3,1,12,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,1,,"01",2,,110200601,,
1,11,2,2,7,1,105.421975,111,1,15000,"01",0,1,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,9,"01",6,,110200701,,
1,11,2,2,8,1,221.941,,,," ",,,,,,,0,0,,,0,,,1,1,3,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110200801,,
1,11,2,2,9,1,105.421975,111,2,215000,"02",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,1,1,3,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"02",555,15,110200901,,
1,11,2,2,10,1,221.941,,,," ",,,,,,,0,4,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"02",1,,110201001,,
1,11,2,2,11,1,221.941,,,," ",,,,,,,0,0,,,0,,,4,1,3,0,,,0,,,1,1,3,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",111,,110201101,,
1,11,2,2,12,1,221.941,,,," ",,,,,,,0,5,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,3,,"01",111,,110201201,,
1,11,2,2,13,1,221.941,,,," ",,,,,,,0,6,1,12,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,3,,"01",1,,110201301,,
1,11,2,2,14,1,221.941,,,," ",,,,,,,0,8,1,3,0,,,0,,,0,,,0,,,0,,,1,1,12,1,1,0,,,1,0,6,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,1,1,3,0,,,0,,0,,0,,0,,2,,"01",1,,110201401,,
1,11,2,2,15,1,221.941,,,," ",,,,,,,0,4,0,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,0,,,0,,,0,,,0,,0,,0,,0,,3,,"01",1,,110201501,,
1,11,2,2,16,1,221.941,,,," ",,,,,,,0,5,1,11,0,,,0,,,0,,,0,,,0,,,1,1,8,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,1,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110201601,,
1,11,2,2,18,1,221.941,,,," ",,,,,,,1,0,,,0,,,0,,,4,1,4,0,,,0,,,1,1,2,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",1,,110201801,,
1,11,2,2,22,1,221.941,,,," ",,,,,,,0,2,1,3,0,,,0,,,0,,,0,,,1,1,3,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,3,,"01",111,,110202201,,
1,11,3,2,1,1,179.50659375,111,2,245000,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,7,"01",555,15,110300101,,
1,11,3,2,2,1,179.50659375,111,1,45000,"01",0,0,0,0,555,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",111,,110300201,,
1,11,3,2,3,1,1566.603,,,," ",,,,,,,0,2,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",111,,110300301,,
1,11,3,2,4,1,179.50659375,,,," ",,,,,,,0,4,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",2,,110300401,,
1,11,3,2,5,1,1566.603,,,," ",,,,,,,1,0,,,0,,,8,1,12,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,2,0,,,0,,,0,,0,,0,,0,,3,,"01",1,,110300501,,
1,11,3,2,6,1,179.50659375,111,2,215000,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,1,1,2,1,1,5,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",111,,110300601,,
1,11,3,2,7,1,179.50659375,111,1,45000,"01",1,,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,7,"01",5,,110300701,,
1,11,3,2,8,1,179.50659375,111,2,215000,"01",0,0,0,0,555,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",5,,110300801,,
1,11,3,2,9,1,1566.603,,,," ",,,,,,,0,3,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110300901,,
1,11,3,2,10,1,1566.603,,,," ",,,,,,,0,4,0,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,4,,"02",1,,110301001,,
1,11,3,2,11,1,1566.603,,,," ",,,,,,,1,0,,,0,,,8,1,4,0,,,2,1,4,1,1,2,0,,,1,1,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,0,,,1,1,2,0,,,0,,0,,0,,0,,2,,"02",1,,110301101,,
1,11,3,2,12,1,1566.603,,,," ",,,,,,,0,0,,,0,,,6,1,4,0,,,0,,,1,1,2,0,,,1,1,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,1,1,0,,,1,1,4,0,,,0,,0,,0,,0,,2,,"02",1,,110301201,,
1,11,3,2,13,1,1566.603,,,," ",,,,,,,1,0,,,0,,,8,1,4,0,,,0,,,1,1,3,1,1,8,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,1,1,12,0,,,0,,0,,0,,0,,2,,"02",1,,110301301,,
1,11,3,2,14,1,179.50659375,111,1,82500,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,1,1,2,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,3,,"01",111,,110301401,,
1,11,3,2,15,1,179.50659375,111,1,45000,"02",0,0,0,0,1,,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,3,,"02",111,,110301501,,
1,11,3,2,16,1,1566.603,,,," ",,,,,,,0,6,1,3,0,,,0,,,0,,,0,,,1,1,2,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"02",1,,110301601,,
1,11,3,2,17,1,1566.603,,,," ",,,,,,,0,5,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,3,,"02",1,,110301701,,
1,11,3,2,18,1,1566.603,,,," ",,,,,,,0,3,1,3,0,,,0,,,0,,,1,1,2,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,4,,"02",1,,110301801,,
1,11,4,1,1,1,262.5804,,,," ",,,,,,,0,2,1,4,0,,,2,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110400101,,
1,11,4,1,2,1,262.5804,,,," ",,,,,,,0,0,,,0,,,3,1,4,0,,,0,,,0,,,1,1,5,0,,0,,,1,1,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,4,,"01",111,,110400201,,
1,11,4,1,3,1,262.5804,,,," ",,,,,,,0,0,,,0,,,5,1,12,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,1,1,3,0,,,0,,0,,0,,0,,2,,"02",1,,110400301,,
1,11,4,1,4,1,262.5804,,,," ",,,,,,,0,4,0,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,3,1,0,,,1,0,8,0,,,0,,0,,0,,0,,4,,"03",1,,110400401,,
