"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","A01","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A13_OTHER","A14","A15","A15_OTHER","A16","A17","A18","A19","A19_OTHER","A20","A22","A22B","A22B_OTHER","hhid","camp","ref_weight"
1,11,1,1,15,1,400.7663,1,1,1,26,1,1,2,1,7,1,1,," ",,," ",2,2019,"Kicukiro",1,,1,1,4,,110101501,,
1,11,1,1,16,1,400.7663,1,1,1,37,1,1,4,1,2,1,1,," ",,," ",1,,,,,5,1,5,,110101601,,
1,11,1,1,16,1,400.7663,4,1,9,28,1,1,4,1,7,1,1,," ",,," ",1,,,,,5,,,,110101601,,
1,11,1,1,16,1,400.7663,6,2,13,22,1,1,4,1,7,1,1,," ",,," ",1,,,,,1,,,,110101601,,
1,11,1,1,16,1,400.7663,3,1,9,30,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110101601,,
1,11,1,1,16,1,400.7663,2,2,2,32,1,1,4,1,2,1,1,," ",,," ",1,,,,,1,,,,110101601,,
1,11,1,1,16,1,400.7663,5,2,3,1,0,,,,,,,," ",,," ",,,,,,,,,,110101601,,
1,11,1,1,17,1,400.7663,1,2,1,49,1,1,4,1,8,1,1,," ",,," ",1,,,,,1,1,8,40,110101701,,
1,11,1,1,17,1,400.7663,2,2,3,24,1,1,4,1,7,1,1,," ",,," ",1,,,,,1,,,,110101701,,
1,11,1,1,17,1,400.7663,5,2,14,39,1,0,,1,7,1,1,," ",,," ",1,,,,,6,,,,110101701,,
1,11,1,1,17,1,400.7663,3,1,3,22,1,1,2,1,7,1,1,," ",,," ",1,,,,,1,,,,110101701,,
1,11,1,1,17,1,400.7663,6,1,12,16,1,1,2,1,7,1,2,," ",,," ",1,,,,,6,,,,110101701,,
1,11,1,1,17,1,400.7663,4,2,3,19,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110101701,,
1,11,1,1,19,1,400.7663,1,1,1,40,1,1,4,1,1,1,1,," ",,," ",1,,,,,6,1,5,,110101901,,
1,11,1,1,19,1,400.7663,5,1,3,3,0,,,,,,,," ",,," ",,,,,,,,,,110101901,,
1,11,1,1,19,1,400.7663,3,2,3,8,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110101901,,
1,11,1,1,19,1,400.7663,2,2,2,35,1,1,4,1,1,1,1,," ",,," ",1,,,,,1,,,,110101901,,
1,11,1,1,19,1,400.7663,4,1,3,5,1,1,1,0,,,,," ",,," ",,,,,,,,,,110101901,,
1,11,1,1,19,1,400.7663,6,2,3,17,1,1,2,1,7,1,2,," ",,," ",1,,,,,1,,,,110101901,,
1,11,1,1,20,1,400.7663,1,2,1,46,1,1,2,1,8,1,1,," ",,," ",1,,,,,1,1,1,,110102001,,
1,11,1,1,20,1,400.7663,3,2,3,25,1,1,5,1,7,1,1,," ",,," ",1,,,,,2,,,,110102001,,
1,11,1,1,20,1,400.7663,4,2,3,23,1,1,4,1,7,1,1,," ",,," ",1,,,,,4,,,,110102001,,
1,11,1,1,20,1,400.7663,5,2,13,26,1,1,4,1,7,1,1,," ",,," ",1,,,,,2,,,,110102001,,
1,11,1,1,20,1,400.7663,2,2,6,86,1,0,,1,8,1,1,," ",,," ",1,,,,,6,,,,110102001,,
1,11,2,2,1,1,221.941,3,1,3,20,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200101,,
1,11,2,2,1,1,221.941,1,1,1,47,1,1,2,1,1,1,1,," ",,," ",1,,,,,6,2,,,110200101,,
1,11,2,2,1,1,221.941,7,2,3,3,0,,,,,,,," ",,," ",,,,,,,,,,110200101,,
1,11,2,2,1,1,221.941,6,2,3,12,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200101,,
1,11,2,2,1,1,221.941,5,2,3,14,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200101,,
1,11,2,2,1,1,221.941,4,2,3,17,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200101,,
1,11,2,2,1,1,221.941,2,2,2,46,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110200101,,
1,11,2,2,2,1,221.941,1,1,1,40,1,1,2,1,1,1,1,," ",,," ",1,,,,,6,2,,,110200201,,
1,11,2,2,2,1,221.941,3,1,3,15,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200201,,
1,11,2,2,2,1,221.941,6,2,3,3,0,,,,,,,," ",,," ",,,,,,,,,,110200201,,
1,11,2,2,2,1,221.941,4,1,3,15,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200201,,
1,11,2,2,2,1,221.941,5,1,3,6,1,0,,0,,,,," ",,," ",,,,,,6,,,,110200201,,
1,11,2,2,2,1,221.941,2,2,2,40,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110200201,,
1,11,2,2,3,1,105.421975,2,2,2,25,1,1,2,1,2,1,1,," ",,," ",2,2019,"muhanga",4,,1,,,,110200301,,
1,11,2,2,3,1,105.421975,1,1,1,32,1,0,,1,2,1,1,," ",,," ",1,,,,,6,1,8,29,110200301,,
1,11,2,2,3,1,105.421975,3,1,3,1,0,,,,,,,," ",,," ",,,,,,,,,,110200301,,
1,11,2,2,4,1,105.421975,2,1,3,18,1,1,2,1,7,1,1,," ",,," ",1,,,,,3,,,,110200401,,
1,11,2,2,4,1,105.421975,5,1,3,11,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110200401,,
1,11,2,2,4,1,105.421975,4,2,3,13,1,1,2,1,7,1,1,," ",,," ",1,,,,,3,,,,110200401,,
1,11,2,2,4,1,105.421975,3,2,3,16,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110200401,,
1,11,2,2,4,1,105.421975,1,2,1,47,1,1,2,1,8,1,1,," ",,," ",1,,,,,1,2,,,110200401,,
1,11,2,2,5,1,105.421975,5,1,3,11,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110200501,,
1,11,2,2,5,1,105.421975,7,1,3,3,0,,,,,,,," ",,," ",,,,,,,,,,110200501,,
1,11,2,2,5,1,105.421975,4,2,3,13,1,1,2,1,7,1,1,," ",,," ",1,,,,,3,,,,110200501,,
1,11,2,2,5,1,105.421975,6,1,3,6,1,0,,0,,,,," ",,," ",,,,,,6,,,,110200501,,
1,11,2,2,5,1,105.421975,1,2,1,43,1,0,,1,3,1,1,," ",,," ",1,,,,,6,2,,,110200501,,
1,11,2,2,5,1,105.421975,2,1,2,27,1,1,2,1,2,1,1,," ",,," ",1,,,,,6,,,,110200501,,
1,11,2,2,5,1,105.421975,3,2,3,21,1,0,,1,7,1,1,," ",,," ",1,,,,,1,,,,110200501,,
1,11,2,2,6,1,105.421975,2,2,2,26,1,1,2,1,2,1,1,," ",,," ",2,2021,"Rulindo",4,,1,,,,110200601,,
1,11,2,2,6,1,105.421975,1,1,1,45,1,1,2,1,2,1,1,," ",,," ",1,,,,,6,1,8,31,110200601,,
1,11,2,2,6,1,105.421975,4,2,3,18,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110200601,,
1,11,2,2,6,1,105.421975,3,1,3,20,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110200601,,
1,11,2,2,7,1,105.421975,2,2,2,32,1,0,,1,2,1,1,," ",,," ",2,2022,"Gisagara",3,,1,,,,110200701,,
1,11,2,2,7,1,105.421975,4,1,3,16,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110200701,,
1,11,2,2,7,1,105.421975,3,1,3,19,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110200701,,
1,11,2,2,7,1,105.421975,1,1,1,42,1,1,2,1,2,1,1,," ",,," ",1,,,,,2,2,,,110200701,,
1,11,2,2,7,1,105.421975,6,1,3,9,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110200701,,
1,11,2,2,7,1,105.421975,5,1,3,13,1,1,1,1,7,1,1,," ",,," ",1,,,,,6,,,,110200701,,
1,11,2,2,8,1,221.941,2,1,2,46,1,0,,1,2,1,1,," ",,," ",2,2019,"Gicumbi",1,,2,,,,110200801,,
1,11,2,2,8,1,221.941,3,1,12,15,1,1,2,1,7,1,1,," ",,," ",2,2019,"Gicumbi",4,,6,,,,110200801,,
1,11,2,2,8,1,221.941,1,2,1,46,1,0,,1,2,1,1,," ",,," ",1,,,,,1,2,,,110200801,,
1,11,2,2,9,1,105.421975,1,1,1,52,1,1,2,1,1,1,1,," ",,," ",1,,,,,6,2,,,110200901,,
1,11,2,2,9,1,105.421975,2,2,2,44,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110200901,,
1,11,2,2,9,1,105.421975,9,1,3,6,1,0,,0,,,,," ",,," ",,,,,,6,,,,110200901,,
1,11,2,2,9,1,105.421975,6,1,3,19,1,1,2,1,7,1,1,," ",,," ",1,,,,,4,,,,110200901,,
1,11,2,2,9,1,105.421975,3,2,6,84,1,0,,1,8,1,1,," ",,," ",1,,,,,6,,,,110200901,,
1,11,2,2,9,1,105.421975,5,2,3,23,1,1,2,1,7,1,1,," ",,," ",1,,,,,4,,,,110200901,,
1,11,2,2,9,1,105.421975,4,1,3,25,1,1,2,1,7,1,1,," ",,," ",1,,,,,4,,,,110200901,,
1,11,2,2,9,1,105.421975,7,2,3,17,1,1,2,1,7,1,1,," ",,," ",1,,,,,4,,,,110200901,,
1,11,2,2,9,1,105.421975,8,2,3,13,1,1,2,1,7,1,1,," ",,," ",1,,,,,4,,,,110200901,,
1,11,2,2,10,1,221.941,7,2,3,0,0,,,,,,,," ",,," ",,,,,,,,,,110201001,,
1,11,2,2,10,1,221.941,6,1,3,6,1,0,,0,,,,," ",,," ",,,,,,6,,,,110201001,,
1,11,2,2,10,1,221.941,1,1,1,68,1,1,2,1,1,1,1,," ",,," ",1,,,,,2,2,,,110201001,,
1,11,2,2,10,1,221.941,5,1,3,8,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110201001,,
1,11,2,2,10,1,221.941,2,2,2,37,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110201001,,
1,11,2,2,10,1,221.941,3,2,3,12,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110201001,,
1,11,2,2,10,1,221.941,4,1,3,11,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110201001,,
1,11,2,2,11,1,221.941,3,2,3,3,0,,,,,,,," ",,," ",,,,,,,,,,110201101,,
1,11,2,2,11,1,221.941,1,1,1,32,1,1,2,1,2,1,1,," ",,," ",1,,,,,6,2,,,110201101,,
1,11,2,2,11,1,221.941,2,2,2,26,1,1,2,1,2,1,1,," ",,," ",1,,,,,1,,,,110201101,,
1,11,2,2,12,1,221.941,1,2,1,53,1,1,2,1,8,1,1,," ",,," ",1,,,,,1,2,,,110201201,,
1,11,2,2,12,1,221.941,3,1,3,31,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110201201,,
1,11,2,2,12,1,221.941,2,2,7,61,1,0,,1,8,1,1,," ",,," ",1,,,,,1,,,,110201201,,
1,11,2,2,13,1,221.941,1,1,1,47,1,1,2,1,1,1,1,," ",,," ",1,,,,,6,1,2,,110201301,,
1,11,2,2,13,1,221.941,2,2,2,48,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110201301,,
