"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
94,11,84.76505,2,25,2,3,2,,,,,111,111,,2,0,1,1,2,1,,,,,111,0,,,,,111,,2,60,0,2,"0102",1,78000,0,0,3,,4,259401102,,
94,11,84.76505,2,25,2,3,1,,,,,111,111,,2,1,1,1,2,1,,,,,111,0,,,,,111,,2,60,0,2,"0102",1,78000,1,0,3,,4,259401102,,
94,12,84.76505,2,25,2,3,1,,,,,2,7,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,5,0,1,"02",1,170000,1,0,4,1,1,259401202,,
94,15,84.76505,2,25,2,3,1,,,,,1,3,,2,1,1,1,3,1,1,,,,,1,,,,,,,3,50,0,1,"01",1,10000,1,1,6,,3,259401502,,
94,18,84.76505,2,25,2,3,1,,,,,2,1,,1,1,1,1,1,1,,,,,111,0,,,,,111,,2,60,0,2,"0102",1,85000,1,0,3,,3,259401802,,
94,19,84.76505,2,25,2,3,1,555,18,,,1,2,,2,0,1,1,2,0,,,,,,1,,,,,,,2,60,0,3,"0102",1,84000,1,1,2,,1,259401902,,
94,19,84.76505,2,25,2,3,2,555,18,,,1,2,,2,1,1,1,2,0,,,,,,1,,,,,,,2,60,0,3,"0102",1,84000,1,1,2,,1,259401902,,
95,5,64.8652657239057,2,25,2,3,1,555,18,,,1,3,,2,1,1,1,1,0,,,,,,1,,,,,,,2,10,0,2,"0102",1,74000,0,1,12,,1,259500502,,
95,6,64.8652657239057,2,25,2,3,1,555,18,,,1,3,,2,1,1,1,2,0,,,,,,1,,,,,,,2,10,0,1,"01",1,23000,0,1,4,,3,259500602,,
95,6,64.8652657239057,2,25,2,3,2,555,18,,,1,3,,2,0,1,1,2,0,,,,,,1,,,,,,,2,10,0,1,"01",1,23000,0,1,4,,3,259500602,,
95,6,64.8652657239057,2,25,2,3,3,555,18,,,1,3,,2,0,1,1,2,0,,,,,,1,,,,,,,2,10,0,1,"01",1,23000,0,1,4,,3,259500602,,
95,10,64.8652657239057,2,25,2,3,1,,,3,,6,4,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,30,0,1,"02",2,,,0,12,1,4,259501002,,
96,1,160.396731614907,2,25,2,3,1,,,,,2,1,,1,1,1,1,1,0,,,,,111,0,,,,,111,,1,,,3,"01",1,46000,1,1,5,,1,259600102,,
96,3,160.396731614907,2,25,2,3,1,555,3,,,4,3,,2,0,1,0,3,0,,,,,,1,,,,,,,2,888,0,10,"0102",1,30000,0,0,4,0,3,259600302,,
96,3,160.396731614907,2,25,2,3,3,555,3,,,3,4,,2,0,1,0,3,0,,,,,,1,,,,,,,2,888,0,10,"0102",1,30000,0,0,4,0,3,259600302,,
96,3,160.396731614907,2,25,2,3,2,555,3,,,3,4,,2,1,1,0,3,0,,,,,,1,,,,,,,2,888,0,10,"0102",1,30000,0,1,4,0,3,259600302,,
96,16,11.79711,2,25,2,3,1,,,,,6,3,,2,1,1,1,3,1,1,,,,,1,,,,,,,3,50,0,2,"02",1,400000,1,1,4,,1,259601602,,
97,4,66.53046,2,25,2,3,1,,,,,1,2,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,888,1,1,"01",1,555000,1,1,4,,1,259700402,,
97,10,66.53046,2,25,2,3,2,,,,,1,7,,2,0,1,0,5,1,1,,,,,1,,,,,,,3,60,0,7,"01",1,208000,1,0,888,0,1,259701002,,
97,10,66.53046,2,25,2,3,3,,,,,1,7,,2,0,1,1,5,1,1,,,,,1,,,,,,,3,60,0,7,"01",1,208000,1,0,888,0,1,259701002,,
97,10,66.53046,2,25,2,3,1,,,,,7,1,,2,1,1,1,5,1,1,,,,,1,,,,,,,3,60,0,5,"01",1,208000,1,1,888,0,1,259701002,,
97,13,66.53046,2,25,2,3,1,,,,,3,1,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,50,0,2,"0102",1,240000,1,1,12,,1,259701302,,
97,14,66.53046,2,25,2,3,1,555,16,,,111,111,,3,1,1,1,7,1,1,,,,,1,,,,,,,3,888,0,4,"0102",1,600000,1,1,10,,1,259701402,,
97,15,66.53046,2,25,2,3,1,,,,,3,111,,2,1,1,1,5,1,1,,,,,1,,,,,,,3,100,0,6,"01",1,728000,1,1,12,,1,259701502,,
97,16,66.53046,2,25,2,3,1,555,18,,,3,6,,2,1,1,1,3,0,,,,,,1,,,,,,,2,10,0,2,"0102",1,85000,1,1,4,,3,259701602,,
97,18,66.53046,2,25,2,3,1,,,,,3,1,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,120,0,4,"0102",1,141000,1,1,5,,1,259701802,,
99,11,950.1539,2,25,2,1,1,,,4,,111,111,,3,1,1,0,2,0,,,,,111,0,,,,,111,,3,888,1,1,"01",2,,,1,3,,2,259901102,,
99,12,950.1539,2,25,2,1,1,,,1,,111,111,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,888,0,1,"01",2,,,1,24,,2,259901202,,
99,13,950.1539,2,25,2,1,2,,,1,,1,6,,2,0,1,0,3,0,,,,,111,0,,,,,111,,2,9,0,6,"02",2,,,0,3,,2,259901302,,
99,13,950.1539,2,25,2,1,1,,,,,1,6,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"0102",1,20000,0,1,12,,3,259901302,,
99,16,950.1539,2,25,2,1,1,,,2,,111,111,,3,1,1,1,3,0,,,,,111,0,,,,,111,,2,12,0,1,"01",2,,,1,4,,555,259901602,,
99,17,950.1539,2,25,2,1,1,,,1,,111,111,,2,1,1,0,3,1,,,,,111,0,,,,,111,,2,888,0,1,"0102",2,,,1,12,,3,259901702,,
99,18,950.1539,2,25,2,1,1,,,1,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,5,,1,259901802,,
100,1,1790.81928947368,2,25,2,1,1,555,16,,,555,6,2,2,1,1,1,3,1,,,,,,1,,,,,,,2,20,0,3,"01",1,95000,1,1,3,,1,260000102,,
100,7,1790.81928947368,2,25,2,1,1,,,3,,1,3,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,2,,2,260000702,,
100,9,1790.81928947368,2,25,2,1,1,,,,,111,111,,1,1,1,1,1,0,,,,,111,0,,,,,111,,2,20,0,1,"01",1,70000,1,0,3,,3,260000902,,
100,14,756.1237,2,25,2,1,1,,,,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,12,0,4,"0102",1,172000,1,1,4,,1,260001402,,
100,22,1790.81928947368,2,25,2,1,1,,,,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,1,"0102",1,95000,1,1,24,,1,260002202,,
101,1,75.79504,2,25,2,3,1,555,14,,,1,111,,2,1,1,1,2,0,,,,,,1,,,,,,,2,20,0,2,"01",1,120000,1,0,2,,1,260100102,,
101,6,75.79504,2,25,2,3,1,,,,,3,2,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,20,0,3,"01",1,178770,1,1,10,,1,260100602,,
101,8,75.79504,2,25,2,3,1,555,18,555,1,3,6,,2,1,1,1,3,0,,,,,,1,,,,,,,2,10,0,2,"0102",2,,,1,2,,3,260100802,,
102,9,58.1195744863014,2,25,1,3,2,555,3,,,111,111,,2,0,1,0,3,0,,,,,,1,,,,,,,2,20,0,2,"01",1,70000,1,1,1,,1,260200902,,
102,9,58.1195744863014,2,25,1,3,1,555,3,,,111,111,,2,0,1,0,3,0,,,,,,1,,,,,,,2,20,0,2,"01",1,70000,1,1,1,,1,260200902,,
102,9,58.1195744863014,2,25,1,3,3,555,3,,,111,111,,2,1,1,0,3,1,,,,,,1,,,,,,,2,20,0,2,"01",1,70000,1,1,1,,1,260200902,,
105,15,68.69241,2,25,2,3,1,555,18,,,4,3,,2,1,1,1,5,1,,,,,,1,,,,,,,2,12,0,2,"01",1,270000,1,1,10,0,1,260501502,,
105,16,68.69241,2,25,2,3,1,,,,,1,3,,2,1,1,1,5,1,,,,,111,0,,,,,111,,2,50,0,4,"01",1,400000,1,1,2,,1,260501602,,
105,18,68.69241,2,25,2,3,1,555,18,,,4,3,,2,1,1,1,4,0,,,,,,1,,,,,,,2,10,0,2,"0102",1,350000,1,1,24,1,1,260501802,,
106,1,,2,25,2,2,1,555,14,1,,7,5,,3,1,1,1,3,1,,,,,,1,,,,,,,2,60,1,1,"01",2,,,1,6,1,1,260600102,1,21.6071434020996
107,3,,2,25,2,2,2,,,1,,111,111,,2,0,1,1,2,1,,,,,111,0,,,,,111,,2,888,0,1,"01",2,,,0,3,,1,260700302,1,21.6071434020996
107,3,,2,25,2,2,1,,,,,7,1,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,6,0,1,"02",1,2600,1,0,5,1,1,260700302,1,21.6071434020996
107,4,,2,25,2,2,1,,,1,,111,111,,2,1,1,0,1,1,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,3,,1,260700402,1,21.6071434020996
108,11,,2,25,2,2,1,555,14,,,4,111,,3,1,1,0,3,0,,,,,,1,,,,,,,3,60,1,2,"02",1,93600,1,0,4,1,1,260801102,1,21.6071434020996
108,15,,2,25,2,2,1,555,14,,,4,111,,3,1,1,0,1,0,,,,,,1,,,,,,,3,60,1,3,"02",1,75000,1,1,5,1,1,260801502,1,21.6071434020996
108,16,,2,25,2,2,1,555,14,1,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,60,0,1,"01",2,,,0,888,,555,260801602,1,21.6071434020996
108,18,,2,25,2,2,1,555,14,,,111,111,,3,1,3,1,3,0,,,,,,1,,,,,,,2,60,1,1,"01",1,30000,1,1,6,,1,260801802,1,21.6071434020996
109,11,,2,25,2,2,1,,,,,6,3,,2,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,1500,0,1,2,,3,260901102,1,21.6071434020996
109,12,,2,25,2,2,1,,,,,111,111,,3,1,1,0,3,1,,,,,111,0,,,,,111,,2,888,0,5,"02",1,40000,1,1,3,,1,260901202,1,21.6071434020996
109,13,,2,25,2,2,1,,,1,,6,7,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,60,0,1,"01",2,,,1,1,0,1,260901302,1,21.6071434020996
109,13,,2,25,2,2,2,,,1,,6,111,,2,0,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,1,"01",2,,,1,1,,1,260901302,1,21.6071434020996
109,14,,2,25,2,2,1,,,1,,6,7,,2,1,1,1,3,1,,,,1,,1,,,,,,,3,888,0,1,"01",2,,,1,2,0,4,260901402,1,21.6071434020996
109,15,,2,25,2,2,1,,,,,7,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,100,0,2,"01",1,250000,1,1,3,0,1,260901502,1,21.6071434020996
109,17,,2,25,2,2,1,555,16,,,2,111,,2,1,1,1,3,1,,,,,,1,,,,,,,2,888,0,1,"0102",1,260000,1,1,2,,1,260901702,1,21.6071434020996
109,18,,2,25,2,2,1,,,,,7,4,,2,1,1,1,3,1,1,,,,,1,,,,,,,3,100,0,2,"01",1,500000,0,1,4,0,3,260901802,1,21.6071434020996
110,3,,2,25,2,2,1,555,14,,,111,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,1,3,"02",1,30000,1,0,888,,1,261000302,1,21.6071434020996
111,11,,2,25,2,2,1,,,,,2,111,,3,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,2,"01",1,248400,1,1,4,,1,261101102,1,21.6071434020996
111,12,,2,25,2,2,1,,,2,,6,111,,2,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,1,"01",2,,,0,2,,4,261101202,1,21.6071434020996
111,13,,2,25,2,2,1,,,2,,6,111,,2,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,1,"0102",2,,,1,3,,4,261101302,1,21.6071434020996
111,14,,2,25,2,2,1,,,,,7,6,,3,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,2,"02",1,93600,1,1,3,0,1,261101402,1,21.6071434020996
111,15,,2,25,2,2,1,,,,,7,6,,3,1,1,1,3,1,,,,1,,1,,,,,,,3,888,0,1,"0102",1,93600,1,1,3,1,1,261101502,1,21.6071434020996
111,16,,2,25,2,2,1,,,,,6,7,,2,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,1,"01",1,93600,1,1,3,1,1,261101602,1,21.6071434020996
111,17,,2,25,2,2,1,,,,,2,7,,3,1,1,1,4,0,,,,1,,1,,,,,,,3,888,1,2,"01",1,248300,1,1,3,1,1,261101702,1,21.6071434020996
112,12,,2,25,2,2,1,555,3,,,555,3,3,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,1,1,"01",1,30000,1,1,888,,1,261201202,1,21.6071434020996
112,14,,2,25,2,2,1,555,3,,,111,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,0,2,"02",1,30000,1,1,4,,1,261201402,1,21.6071434020996
112,16,,2,25,2,2,1,555,3,,,111,111,,3,1,1,0,3,0,,,,,,1,,,,,,,3,60,1,3,"01",1,91000,1,1,888,,1,261201602,1,21.6071434020996
112,18,,2,25,2,2,1,555,14,1,,111,111,,3,1,1,0,3,0,,,,,,1,,,,,,,3,60,0,1,"01",2,,,1,888,,555,261201802,1,21.6071434020996
113,6,,2,25,2,2,1,,,,,4,6,,2,1,1,1,2,0,,,,1,,1,,,,,,,3,888,0,4,"04",1,30000,0,1,12,0,1,261300602,1,21.6071434020996
113,8,,2,25,2,2,1,,,,,6,111,,3,1,1,1,3,1,,,,1,,1,,,,,,,3,888,1,2,"01",1,93600,1,1,3,,1,261300802,1,21.6071434020996
113,9,,2,25,2,2,1,555,3,,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,60,1,2,"01",1,2600,1,1,4,,1,261300902,1,21.6071434020996
113,10,,2,25,2,2,1,555,3,,,2,1,,3,1,1,0,3,0,,,,,,1,,,,,,,3,60,1,2,"0102",1,2900,1,1,4,,1,261301002,1,21.6071434020996
113,11,,2,25,2,2,1,555,3,,,2,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,1,2,"01",1,2900,1,1,888,,1,261301102,1,21.6071434020996
113,12,,2,25,2,2,1,555,3,1,,111,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,60,1,1,"01",2,,,0,888,,555,261301202,1,21.6071434020996
114,5,277.370968,2,26,2,1,1,,,,,111,111,,3,1,1,1,3,0,,,,,111,0,,,,,111,,2,12,1,3,"01",1,90000,0,0,3,,555,271400502,,
115,7,47.3494545964912,2,26,1,1,1,555,3,,,111,111,,3,1,1,1,4,1,,,,,,1,,,,,,,2,120,1,5,"01",1,140000,1,1,12,,1,271500702,,
118,12,1072.90390045249,2,26,2,1,1,555,3,,,1,4,,3,1,3,1,3,1,,,,,,1,,,,,,,2,12,1,1,"01",1,30000,0,0,888,0,1,271801202,,
120,7,466.49658,2,27,1,1,1,,,,,111,111,,1,1,3,1,1,0,,,,,111,0,,,,,111,,1,,,1,"02",1,25000,1,0,3,,4,282000702,,
120,15,466.49658,2,27,1,1,1,,,3,,111,111,,3,1,1,1,9,0,1,,,,,1,,,,,,,3,888,1,1,"01",2,,,0,12,,3,282001502,,
121,9,1083.059,2,27,2,1,1,,,,,3,111,,3,1,1,1,5,1,,,,,111,0,,,,,111,,2,888,1,2,"01",1,35000,1,0,4,,4,282100902,,
121,11,1083.059,2,27,2,1,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"02",1,25000,1,1,3,,555,282101102,,
121,12,1083.059,2,27,2,1,1,,,,,111,111,,2,1,1,1,4,1,1,,,,,1,,,,,,,3,100,1,8,"01",1,466800,1,1,12,,1,282101202,,
122,3,1119.49942857143,2,27,2,1,1,555,3,,,4,3,,3,1,1,1,3,0,,,,,,1,,,,,,,2,25,1,2,"01",1,30000,1,1,5,1,1,282200302,,
122,18,1119.49942857143,2,27,2,1,1,,,,,111,111,,1,1,1,1,1,1,1,,,,,1,,,,,,,3,888,1,3,"01",1,2750,1,1,4,,555,282201802,,
124,5,52.301571,2,27,1,1,1,,,3,,111,111,,3,1,1,1,2,1,,,,,111,0,,,,,111,,2,12,1,1,"0102",2,,,0,12,,4,282400502,,
124,12,249.0551,2,27,1,1,1,,,,,111,111,,3,1,1,1,4,1,,,,,111,0,,,,,111,,2,12,1,4,"02",1,5000,1,1,2,,1,282401202,,
125,10,1360.23511077158,2,27,2,1,1,555,3,1,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,50,1,1,"01",2,,,1,5,,3,282501002,,
125,12,1360.23511077158,2,27,2,1,1,555,3,1,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,50,1,1,"01",2,,,1,4,,3,282501202,,
125,13,1360.23511077158,2,27,2,1,1,555,18,,,4,1,,3,1,1,1,3,0,,,,,,1,,,,,,,2,50,1,5,"0102",1,145000,1,1,5,0,1,282501302,,
125,15,1360.23511077158,2,27,2,1,1,,,,,111,111,,3,1,1,1,6,1,1,,,,,1,,,,,,,3,100,1,1,"01",1,580000,0,0,12,,2,282501502,,
125,16,1360.23511077158,2,27,2,1,2,,,3,,111,111,,1,0,1,0,2,1,1,,,,,1,,,,,,,3,100,1,2,"0102",2,,,0,888,,3,282501602,,
125,16,1360.23511077158,2,27,2,1,1,,,,,2,4,,3,1,1,1,2,1,1,,,,,1,,,,,,,3,100,1,6,"0102",1,250000,1,0,10,0,1,282501602,,
127,4,1240.29181333333,2,28,2,1,1,555,16,2,,6,5,,2,1,1,1,2,1,,,,,,1,,,,,,,2,888,0,2,"01",2,,,0,6,1,3,292700402,,
127,4,1240.29181333333,2,28,2,1,2,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,15000,1,0,2,,1,292700402,,
127,13,1500.353,2,28,2,1,1,555,17,,,4,6,,2,1,1,1,3,1,,,,,,1,,,,,,,2,12,0,2,"0102",1,2500,0,0,1,1,3,292701302,,
127,13,1500.353,2,28,2,1,2,,,3,,111,111,,2,0,1,1,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,3,,4,292701302,,
127,15,1240.29181333333,2,28,2,1,1,,,2,,3,4,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,10,0,5,"0102",2,,,1,5,0,2,292701502,,
127,18,1240.29181333333,2,28,2,1,1,,,,,7,1,,3,1,1,0,3,0,,,,,111,0,,,,,111,,3,888,1,4,"01",1,30000,1,0,4,0,1,292701802,,
128,5,343.71137921458,2,28,1,1,1,,,,,3,6,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"02",1,5000,0,0,3,,555,292800502,,
128,11,343.71137921458,2,28,1,1,1,,,,,1,6,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,70,0,3,"01",1,90000,1,1,4,,2,292801102,,
128,13,343.71137921458,2,28,1,1,1,,,1,,555,111,5,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"02",2,,,0,7,,555,292801302,,
128,13,343.71137921458,2,28,1,1,2,,,1,,3,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"0304",2,,,0,7,,555,292801302,,
129,3,892.101,2,28,2,1,1,555,18,,,4,1,,1,1,1,1,1,0,,,,,,1,,,,,,,1,,,1,"01",1,5000,1,0,3,0,1,292900302,,
129,3,892.101,2,28,2,1,2,,,1,,1,3,,3,0,1,1,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,2,,2,292900302,,
129,4,892.101,2,28,2,1,1,,,,,1,3,,1,1,3,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,2000,0,0,3,,3,292900402,,
129,9,892.101,2,28,2,1,1,555,15,1,,1,3,,1,1,3,0,1,0,,,,,,1,,,,,,,1,,,2,"01",2,,,0,1,,2,292900902,,
129,10,892.101,2,28,2,1,1,555,18,,,7,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,50,0,2,"01",1,30000,1,1,3,0,1,292901002,,
129,10,892.101,2,28,2,1,2,,,1,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"04",2,,,0,1,,4,292901002,,
129,10,892.101,2,28,2,1,3,,,,,7,111,,3,0,1,1,3,0,,,,,111,0,,,,,111,,2,50,0,2,"01",1,243600,1,0,3,0,1,292901002,,
129,12,892.101,2,28,2,1,2,,,,,1,4,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,2,"0102",1,84000,1,1,4,,1,292901202,,
129,12,892.101,2,28,2,1,1,,,,,1,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"0102",1,5000,0,0,3,0,1,292901202,,
129,14,892.101,2,28,2,1,1,555,18,,,2,3,,2,0,1,1,3,0,,,,,,1,,,,,,,2,24,0,3,"01",1,80000,1,0,12,,1,292901402,,
129,14,892.101,2,28,2,1,2,555,18,,,2,3,,2,1,1,1,3,0,,,,,,1,,,,,,,2,24,0,3,"0102",1,80000,1,0,12,,1,292901402,,
129,14,892.101,2,28,2,1,3,,,,,2,3,,2,0,1,1,3,0,,,,,111,0,,,,,111,,2,24,0,3,"0102",1,80000,1,0,12,,1,292901402,,
129,17,892.101,2,28,2,1,1,,,4,,111,111,,1,1,1,0,1,1,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,2,,3,292901702,,
130,1,229.0288,2,28,1,1,1,,,1,,1,4,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,2,0,555,293000102,,
130,3,229.0288,2,28,1,1,1,,,2,,6,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"02",2,,,1,4,,555,293000302,,
130,5,229.0288,2,28,1,1,1,,,,,2,5,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,2,"01",1,85000,1,0,12,0,4,293000502,,
130,8,229.0288,2,28,1,1,1,,,4,,6,7,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"01",2,,,0,4,0,3,293000802,,
130,10,229.0288,2,28,1,1,1,,,,,2,4,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,17,0,3,"0102",1,180000,1,1,24,1,1,293001002,,
130,11,229.0288,2,28,1,1,1,,,,,111,111,,2,0,1,0,3,0,,,,,111,0,,,,,111,,1,,,7,"01",1,8000,1,0,3,,1,293001102,,
130,11,229.0288,2,28,1,1,3,,,,,111,111,,2,0,1,0,2,0,,,,,111,0,,,,,111,,3,50,0,7,"01",1,14000,1,0,3,,1,293001102,,
130,11,229.0288,2,28,1,1,2,,,,,111,111,,1,1,3,1,3,0,1,,,,,1,,,,,,,3,50,0,7,"01",1,14000,1,0,4,,1,293001102,,
130,12,229.0288,2,28,1,1,1,,,1,,2,111,,3,1,1,1,4,1,1,,,1,,1,,,,,,,3,50,0,1,"02",2,,,0,24,,1,293001202,,
130,14,229.0288,2,28,1,1,1,,,,,3,7,,2,1,1,1,4,0,,,,,111,0,,,,,111,,2,17,1,4,"01",1,4800,1,1,4,0,1,293001402,,
130,15,229.0288,2,28,1,1,1,,,2,,111,111,,2,1,1,1,2,0,,,,,111,0,,,,,111,,2,60,0,2,"01",2,,,0,8,,3,293001502,,
130,18,229.0288,2,28,1,1,1,,,,,2,111,,3,0,1,1,5,0,1,,,1,,1,,,,,,,3,50,0,5,"01",1,26000,1,0,24,,1,293001802,,
130,18,229.0288,2,28,1,1,2,,,,,2,111,,3,1,1,1,5,1,1,,,1,,1,,,,,,,3,50,0,5,"0102",1,26000,1,0,24,,1,293001802,,
130,20,229.0288,2,28,1,1,2,555,3,,,4,7,,1,0,1,0,3,0,,,,,,1,,,,,,,1,,,2,"0102",1,37000,1,0,3,0,1,293002002,,
130,20,229.0288,2,28,1,1,1,555,14,,,3,6,,3,1,1,1,3,0,,,,,,1,,,,,,,2,32,0,2,"0102",1,37000,1,0,4,,1,293002002,,
130,20,229.0288,2,28,1,1,3,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"0102",1,5000,0,0,3,,1,293002002,,
130,21,229.0288,2,28,1,1,1,555,14,4,,1,7,,2,1,1,1,3,0,,,,,,1,,,,,,,2,32,0,1,"0102",2,,,0,4,0,3,293002102,,
131,10,1149.95715066964,2,28,2,1,1,555,18,,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,50,0,1,"01",1,7200,1,0,4,,1,293101002,,
131,11,1149.95715066964,2,28,2,1,1,,,2,,1,3,,3,1,1,0,2,0,,,,,111,0,,,,,111,,3,888,0,2,"01",2,,,0,1,,1,293101102,,
131,12,1149.95715066964,2,28,2,1,1,,,,,2,4,,2,1,3,1,4,0,,,,,111,0,,,,,111,,2,5,0,5,"01",1,220000,1,1,6,0,1,293101202,,
131,13,1149.95715066964,2,28,2,1,1,,,1,,1,6,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"030405",2,,,0,2,,3,293101302,,
131,13,1149.95715066964,2,28,2,1,2,,,,,2,4,,3,0,3,1,3,0,,,,,111,0,,,,,111,,2,12,0,1,"01",1,100000,1,1,3,0,1,293101302,,
131,15,1149.95715066964,2,28,2,1,4,,,555,1,111,111,,1,0,1,0,1,1,,,,,111,0,,,,,111,,1,,,2,"0102",2,,,1,2,,4,293101502,,
131,15,1149.95715066964,2,28,2,1,5,,,,,6,7,,2,0,3,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,15000,0,0,1,,3,293101502,,
131,15,1149.95715066964,2,28,2,1,1,,,,,111,111,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,3,"0102",1,6000,1,1,9,,1,293101502,,
131,15,1149.95715066964,2,28,2,1,2,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,2000,1,1,2,,3,293101502,,
131,15,1149.95715066964,2,28,2,1,3,,,,,111,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,20000,0,1,3,0,1,293101502,,
131,17,1149.95715066964,2,28,2,1,1,,,,,111,111,,2,1,1,0,2,0,,,,,111,0,,,,,111,,2,20,0,1,"01",1,10000,1,0,3,,1,293101702,,
132,10,1520.222,2,28,2,1,2,,,,,1,111,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,14,0,2,"01",1,80000,1,0,4,0,1,293201002,,
132,10,1520.222,2,28,2,1,1,,,,,6,4,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,7000,1,0,2,,555,293201002,,
132,12,1520.222,2,28,2,1,2,,,3,,111,111,,3,0,1,0,2,0,,,,,111,0,,,,,111,,3,888,0,6,"01",2,,,0,1,,4,293201202,,
132,12,1520.222,2,28,2,1,1,,,,,6,111,,2,1,1,1,2,1,,,,,111,0,,,,,111,,2,17,0,6,"01",1,2000,1,0,5,,1,293201202,,
132,16,1520.222,2,28,2,1,1,555,16,,,4,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,50,0,1,"01",1,5700,1,0,888,0,1,293201602,,
133,1,239.098475138122,2,28,1,1,1,555,17,,,3,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,12,1,3,"0102",1,75000,1,1,4,,1,293300102,,
133,20,239.098475138122,2,28,1,1,1,555,16,,,4,1,,2,1,1,0,3,0,,,,,,1,,,,,,,2,17,1,3,"01",1,10000,1,1,6,0,1,293302002,,
134,2,13.9770985339988,2,28,1,1,2,,,,,111,111,,3,1,1,1,4,1,1,,,,,1,,,,,,,3,888,1,2,"01",1,5700,1,1,12,,1,293400202,,
