"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","B01","B02","B02_OTHER","B03","B04","B05","B05_OTHER","B06_1","B06_2","B06_3","B06_4","B06_5","B06_OTHER","B07_1","B07_2","B07_3","B07_4","B07_OTHER","B08_01","B08_02","B08_03","B08_04","B08_05","B08_06","B08_07","B08_08","B08_09","B08_10","B08_11","B08_12","B08_13","B08_14","B08_15","B08_OTHER","B09","B10","B11_01","B11_02","B11_03","B11_04","B11_05","B11_06","B11_07","B11_08","B11_09","B11_10","B11_11","B11_12","B11_13","B11_OTHER","B12","B13","B14","hhid","camp","ref_weight"
1,11,2,2,18,1,221.941,"01",1,,0,1,5,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,2,3,2,110201801,,
1,11,2,2,22,1,221.941,"01",1,,0,0,5,,,,1,,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,,,,,1,,,1,,,,,,,2,1,2,110202201,,
1,11,3,2,1,1,179.50659375,"01",11,,0,0,1,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,1,1,110300101,,
1,11,3,2,2,1,179.50659375,"01",5,,0,0,1,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,2,1,110300201,,
1,11,3,2,3,1,1566.603,"01",1,,0,0,1,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,2,1,110300301,,
1,11,3,2,4,1,179.50659375,"01",9,,0,0,1,,,,,111,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,2,3,1,110300401,,
1,11,3,2,5,1,1566.603,"01",1,,0,1,5,,,,1,,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,1,,,1,,,,,,,2,3,1,110300501,,
1,11,3,2,6,1,179.50659375,"01",11,,0,0,1,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,3,1,110300601,,
1,11,3,2,7,1,179.50659375,"01",8,,0,0,1,,,,,111,,,1,,,,,,,,1,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,2,3,1,110300701,,
1,11,3,2,8,1,179.50659375,"01",5,,0,1,5,,1,,,,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,1,,,,,,,2,3,1,110300801,,
1,11,3,2,9,1,1566.603,"01",1,,0,0,1,,,,,111,,,,1,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,2,1,110300901,,
1,11,3,2,10,1,1566.603,"02",1,,1,0,1,,1,,,,,,,,111,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,1,1,110301001,,
1,11,3,2,11,1,1566.603,"02",1,,1,1,5,,,1,,,,,1,,,,,,1,,1,,,,,,,,1,,,,,1,1,1,1,,,1,,,,,,,,,,1,2,1,110301101,,
1,11,3,2,12,1,1566.603,"02",1,,1,0,5,,,,,111,,,1,,,,,,,,1,,,,,,,,1,,,,,1,1,1,1,,,1,,,,,,,,,,1,3,1,110301201,,
1,11,3,2,13,1,1566.603,"01",1,,0,1,1,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,1,1,1,,,,1,,,,,,,,,2,3,1,110301301,,
1,11,3,2,14,1,179.50659375,"01",11,,0,0,1,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,2,1,4,110301401,,
1,11,3,2,15,1,179.50659375,"02",7,,0,1,1,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,2,2,4,110301501,,
1,11,3,2,16,1,1566.603,"01",1,,2,0,5,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,1,1,,,1,,,,,,,,,,1,2,1,110301601,,
1,11,3,2,17,1,1566.603,"02",1,,1,0,6,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,1,2,1,110301701,,
1,11,3,2,18,1,1566.603,"01",1,,0,0,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,1,,,,,,,1,2,1,110301801,,
1,11,4,1,1,1,262.5804,"01",1,,,,5,,,,,111,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,2,2,110400101,,
1,11,4,1,2,1,262.5804,"01",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,3,2,110400201,,
1,11,4,1,3,1,262.5804,"01",1,,,,5,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,2,110400301,,
1,11,4,1,4,1,262.5804,"03",1,,,,5,,,,,,555,4,,,,555,2,,,,,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,3,2,110400401,,
1,11,4,1,5,1,262.5804,"01",1,,,,5,,1,,,,,,,,,555,4,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,1,110400501,,
1,11,4,1,6,1,262.5804,"01",1,,,,4,,,,1,,,,,,,555,4,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,3,2,110400601,,
1,11,4,1,7,1,262.5804,"02",1,,,,5,,,,,111,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,3,2,110400701,,
1,11,4,1,8,1,262.5804,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,,1,,,1,0,,,,,,,,,,,,,,,,2,2,110400801,,
1,11,4,1,9,1,262.5804,"01",1,,,,5,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,1,,1,,,,1,,,,,2,2,110400901,,
1,11,4,1,10,1,262.5804,"01",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,2,2,110401001,,
1,11,4,1,11,1,262.5804,"02",1,,,,4,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,1,110401101,,
1,11,4,1,12,1,262.5804,"01",1,,,,5,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,,,,,3,2,110401201,,
1,11,4,1,13,1,262.5804,"01",1,,,,5,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,2,1,110401301,,
1,11,4,1,15,1,262.5804,"01",1,,,,5,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,1,,,,,2,2,110401501,,
1,11,4,1,17,1,262.5804,"01",1,,,,5,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,555,2,1,1,1,1,,,,,,,,,,,,,,3,1,110401701,,
1,11,4,1,19,1,262.5804,"01",1,,,,5,,,,,,555,8,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,3,2,110401901,,
1,11,4,1,21,1,262.5804,"05",1,,,,5,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,2,110402101,,
1,11,4,1,22,1,262.5804,"01",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,3,1,110402201,,
