"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","F02","F03","F03_OTHER1","F04","F04_OTHER","F05","F06","F07","F08A","F08B","F08_OTHER","F09_1","F09_2","F09_3","F09_4","F09_5","F09_6","F09_7","F09_8","F09_9","hhid","camp","ref_weight"
1,17,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,17,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101701,,
1,19,400.7663,1,11,1,1,1,1," ",," ",,2,1,111,111,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,19,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110101901,,
1,20,400.7663,1,11,1,1,1,1," ",," ",,1,1,4,111,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,3,0," ",," ",,,,,,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,2,0," ",," ",,,,,,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,5,0," ",," ",,,,,,,,,,,,,,,,110102001,,
1,20,400.7663,1,11,1,1,4,0," ",," ",,,,,,,,,,,,,,,,110102001,,
2,1,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,1,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200101,,
2,2,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,2,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200201,,
2,3,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,3,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,3,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,3,105.421975,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,3,105.421975,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200301,,
2,4,105.421975,1,11,2,1,1,1," ",," ",,30,2,1,5,,,1,,,,,,,,110200401,,
2,4,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200401,,
2,4,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200401,,
2,4,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200401,,
2,4,105.421975,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200401,,
2,5,105.421975,1,11,2,1,1,1," ",," ",,7,1,1,4,,,,,,,,,,111,110200501,,
2,5,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200501,,
2,5,105.421975,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200501,,
2,5,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200501,,
2,5,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200501,,
2,6,105.421975,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200601,,
2,6,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200601,,
2,6,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200601,,
2,6,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200601,,
2,6,105.421975,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200601,,
2,7,105.421975,1,11,2,1,1,1," ",," ",,6,2,5,555,3,,,,,,,,,111,110200701,,
2,7,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200701,,
2,7,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200701,,
2,7,105.421975,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200701,,
2,7,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200701,,
2,8,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200801,,
2,8,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200801,,
2,8,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200801,,
2,8,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200801,,
2,8,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200801,,
2,9,105.421975,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110200901,,
2,9,105.421975,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110200901,,
2,9,105.421975,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110200901,,
2,9,105.421975,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110200901,,
2,9,105.421975,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110200901,,
2,10,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110201001,,
2,10,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201001,,
2,10,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201001,,
2,10,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201001,,
