Cluster,Avg_Reliability,Grid_Access,Productive_Share,Pop_Weight,Is_Urban
1,0.9462085574004935,0.9910714285714286,0.7786989795918366,5661.275300900902,1.0
2,0.7681357838382623,0.808080808080808,0.4360269360269361,3295.8238499999998,0.0
3,0.9122812495469765,0.9160305343511449,0.46851145038167935,17102.08275,0.0
4,0.9731543650956725,1.0,0.888888888888889,4726.4472,1.0
5,0.8899778730726904,0.9446640316205532,0.6089996959562176,2574.4200251046027,1.0
6,0.9947013423150025,1.0,0.7222222222222222,9076.6854,1.0
7,0.9942784800982415,1.0,0.888888888888889,3452.139,1.0
8,0.9896544677280223,0.9952380952380951,1.0,12123.848110047848,1.0
9,0.9507958851110678,0.9919786096256684,0.5579879679144385,7258.235540700809,1.0
10,0.984253915403406,0.995433789954338,0.878323932312651,9930.60382293578,1.0
11,0.9988680089816693,1.0,0.7777777777777777,8762.6016,1.0
12,0.8947331929127591,0.9227642276422763,0.6459349593495934,7578.272748898678,0.0
13,0.9701051145718264,0.9947916666666666,0.7118675595238096,10360.486467015704,0.0
14,0.9387594659915494,0.9440559440559442,0.8885232414644181,3955.874462222222,1.0
15,0.9734476878178574,0.9961977186311786,0.9339353612167299,10738.191224427483,1.0
16,0.966195481118399,0.9808429118773946,0.754494547597996,5877.58786875,1.0
17,0.9544255425691678,0.9686520376175548,0.3788280684832409,1141.7155356634305,1.0
18,0.8435855711850316,0.8918918918918917,0.3837837837837838,10626.308060606063,0.0
19,0.9373453701249292,0.9815950920245399,0.7011393514460998,9752.95279875,1.0
20,0.6318678429213577,0.6576576576576578,0.2708246708246709,8824.401620547944,0.0
21,0.9255345309485323,0.9326923076923076,0.7578124999999999,9615.823703092783,1.0
22,0.9640383580814699,0.977777777777778,0.7407407407407408,4442.999727272727,1.0
23,0.906312948845782,0.9593023255813952,0.9767441860465116,5173.27496,1.0
24,0.9988680089816693,1.0,0.9444444444444444,7392.182400000001,1.0
25,0.991039881344737,1.0,0.7777777777777777,5859.577800000001,1.0
26,0.983406842139198,0.993827160493827,0.9198480531813864,17146.01862111801,1.0
27,0.9405174162686222,0.9591836734693877,0.7459968602825746,605.7619265957446,1.0
28,0.8869982814424888,0.9019607843137254,0.7338235294117645,8035.277282608697,1.0
29,0.9856889470580282,1.0,0.7777777777777778,8419.3056,1.0
30,0.7077983850129499,0.7465753424657534,0.3981735159817353,7973.167155963302,0.0
31,0.7696499108745983,0.8205128205128206,0.7459207459207461,622.8077212499999,1.0
32,0.9820815673501865,1.0,0.7222222222222222,875.78028,1.0
33,0.9818400449083464,1.0,0.9444444444444444,10577.7774,1.0
34,0.32810110280834826,0.33783783783783783,0.2854729729729729,7214.008400000001,0.0
35,0.9272115338632019,0.9681528662420382,0.6264518546272011,6151.465546052632,1.0
36,0.7136916236436767,0.7294117647058826,0.5926470588235296,2868.558064516128,0.0
37,0.9383646616511866,0.9918533604887982,0.46286490156143917,6848.218971252567,1.0
38,0.9821582070056598,1.0,1.0,4650.6204,1.0
39,0.978752499913194,1.0,0.9444444444444444,4932.2772,1.0
40,0.9353412420803591,0.9693877551020408,0.8309037900874635,9204.700341052632,1.0
41,0.9083256815261338,0.9469696969696969,0.8912655971479501,5683.127472000002,1.0
42,0.9939465382223212,1.0,0.7222222222222222,1823.6988000000001,1.0
43,0.988174401582812,0.9961832061068703,0.9375841939829367,7089.660472796935,1.0
44,0.851868329611589,0.9010416666666665,0.6237980769230768,14560.048092485551,1.0
45,0.9622153893737125,0.9797297297297299,0.7748552123552125,5062.8805572413785,1.0
46,0.7439109264999857,0.792763157894737,0.4404239766081872,10408.578423236513,0.0
47,0.9754329620190392,1.0,1.0,6044.184000000001,1.0
48,0.9759357761764176,1.0,0.8823529411764706,20798.769,1.0
49,0.9906250000000001,1.0,0.8333333333333334,3066.5124,1.0
50,0.9128417982049082,0.9348837209302325,0.5033989266547406,4343.741482587065,1.0
51,0.7842727770067813,0.8425196850393699,0.8711524695776662,2164.578742056075,1.0
52,0.2362204724409454,0.2362204724409454,0.31798909751665677,23110.782666666615,0.0
53,0.29698564055850124,0.3053435114503817,0.3193384223918575,20017.00305,0.0
54,0.6461237888051617,0.6494464944649445,0.5811808118081182,12257.828886363639,0.0
55,0.0,0.0,0.38888888888888884,23869.440000000002,0.0
56,0.9164036946710811,0.9660194174757283,0.42250346740638006,2461.4809567839193,0.0
57,0.25759500504042143,0.2681564245810055,0.23029174425822468,1131.9453206250002,0.0
58,0.6345256431676503,0.6561403508771929,0.3749829118250171,26794.03419786097,0.0
59,0.06244318181818184,0.06363636363636367,0.3855944055944056,1258.2043571428565,0.0
60,0.7513668033724518,0.7599999999999997,0.5599999999999998,1559.2701315789477,0.0
61,0.6900023553105401,0.7155963302752292,0.3821100917431193,1146.486594871795,0.0
62,0.6596080501590892,0.6818181818181818,0.2977272727272728,1266.7693866666668,0.0
63,0.035358278071029925,0.03550295857988166,0.229676832043696,960.9955441666666,0.0
64,0.36074150533443183,0.3765432098765433,0.1882716049382717,1166.938583606557,0.0
65,0.14407458426295297,0.1460674157303371,0.25468164794007486,906.6063046153844,0.0
66,0.7217965258119132,0.804093567251462,0.26571637426900585,1506.4341381818183,0.0
67,0.23737373737373788,0.23737373737373788,0.19584736251402915,1241.699116595742,0.0
