Country,"Mean m(R), baseline",Financing baseline,Financing min,Financing max,Hardening baseline,No viable baseline
North-West Nigeria,0.6256495501963971,52.06819921946024,47.05477933400883,55.42754069161489,47.01445832076766,0.9173424597720969
Rwanda,0.964767393980372,74.19706011184121,73.7722067710272,74.20011568205189,10.481781321237712,15.321158566921067
