Country,Parameter,Value,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
Rwanda,DEFAULT_RATE,0.05,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.1,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.15,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.2,73.37195137117672,11.306890061902212,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.25,73.0228368641185,11.656004568960416,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DEFAULT_RATE,0.3,72.76399907544763,11.914842357631306,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,100000.0,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,200000.0,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,300000.0,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,400000.0,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,COST_GRID_PER_HH,500000.0,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,ETA,0.4,74.20011568205189,10.478725751027048,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,ETA,0.6,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,ETA,1.0,73.44859833041343,11.230243102665483,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,ETA,1.5,73.44859833041343,11.230243102665483,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,ETA,2.0,73.37195137117672,11.306890061902212,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.1,74.21683131091747,10.462010122161463,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.2,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.3,73.44859833041343,11.230243102665483,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.4,73.44859833041343,11.230243102665483,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,DELTA,0.5,73.44314710351189,11.235694329567037,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.01,57.13548753803839,27.543353895040536,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.05,68.5335977397589,16.145243693320023,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.1,72.95212612678486,11.726715306294059,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.15,73.44859833041343,11.230243102665483,15.321158566921078,0.964767393980372,1520387.9078892116
Rwanda,LIFT,0.18339567813502683,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,PRINCIPAL_MODE,0.0,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,PRINCIPAL_MODE,1.0,66.1209116482912,18.557929784787735,15.321158566921056,0.964767393980372,1520387.9078892116
North-West Nigeria,DEFAULT_RATE,0.05,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.1,55.69240588700223,43.390251653225675,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.15,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.2,43.24937090328035,55.83328663694754,0.9173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.25,36.398860206989944,62.683797333237955,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DEFAULT_RATE,0.3,33.74162941917071,65.34102812105719,0.9173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,100000.0,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,200000.0,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,300000.0,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,400000.0,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,COST_GRID_PER_HH,500000.0,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,ETA,0.4,55.42754069161489,43.65511684861301,0.917342459772108,0.6256495501963971,3284361.25
North-West Nigeria,ETA,0.6,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,ETA,1.0,44.60287244014346,54.47978510008444,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,ETA,1.5,37.444838648846996,61.6378188913809,0.9173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,ETA,2.0,30.06146423930286,69.02119330092505,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.1,55.778163199565,43.3044943406629,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.2,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.3,39.19829644658181,59.884361093646085,0.9173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.4,35.6233231336458,63.459334406582116,0.9173424597720914,0.6256495501963971,3284361.25
North-West Nigeria,DELTA,0.5,32.81707797135853,66.26557956886937,0.9173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.01,1.6796687727231907,97.40298876750471,0.9173424597721035,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.05,13.125226353260375,85.95743118696753,0.9173424597720997,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.1,31.258127078797866,67.82453046143003,0.9173424597721025,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.15,36.398860206989944,62.683797333237955,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.2,46.75236010048534,52.330297439742566,0.9173424597720914,0.6256495501963971,3284361.25
North-West Nigeria,LIFT,0.2363783805976269,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,PRINCIPAL_MODE,0.0,52.06819921946024,47.01445832076766,0.9173424597720969,0.6256495501963971,3284361.25
North-West Nigeria,PRINCIPAL_MODE,1.0,8.494763179555754,90.58789436067215,0.9173424597720969,0.6256495501963971,3284361.25
