Cluster,m_R_avg,access_rate,share_tier_ge2,pop_weight,Is_Urban
1,0.9465012149865336,0.9910714285714286,0.7786989795918366,5661.275300900902,1.0
2,0.7689209105200832,0.808080808080808,0.4360269360269361,3295.8238499999998,0.0
3,0.9123656084550703,0.9160305343511449,0.46851145038167935,17102.08275,0.0
4,0.9734605977633727,1.0,0.888888888888889,4726.4472,1.0
5,0.8904112513633375,0.9446640316205532,0.6089996959562176,2574.4200251046027,1.0
6,0.994726812112915,1.0,0.7222222222222222,9076.6854,1.0
7,0.9944072142960311,1.0,0.888888888888889,3452.139,1.0
8,0.9896813073301922,0.9952380952380951,1.0,12123.848110047848,1.0
9,0.9511993826927265,0.9919786096256684,0.5579879679144385,7258.235540700809,1.0
10,0.9843078396960315,0.995433789954338,0.878323932312651,9930.60382293578,1.0
11,0.9988934787795817,1.0,0.7777777777777777,8762.6016,1.0
12,0.8950178546088073,0.9227642276422763,0.6459349593495934,7578.272748898678,0.0
13,0.9706605619939603,0.9947916666666666,0.7118675595238096,10360.486467015704,0.0
14,0.9387849253123751,0.9440559440559442,0.8885232414644181,3955.874462222222,1.0
15,0.9737354190244651,0.9961977186311786,0.9339353612167299,10738.191224427483,1.0
16,0.9662704064006622,0.9808429118773946,0.754494547597996,5877.58786875,1.0
17,0.9544941617364517,0.9686520376175548,0.3788280684832409,1141.7155356634305,1.0
18,0.8441080630630979,0.8918918918918917,0.3837837837837838,10626.308060606063,0.0
19,0.9378677198054445,0.9815950920245399,0.7011393514460998,9752.95279875,1.0
20,0.6324481137529243,0.6576576576576578,0.2708246708246709,8824.401620547944,0.0
21,0.9256955809252672,0.9326923076923076,0.7578124999999999,9615.823703092783,1.0
22,0.9643474950246368,0.977777777777778,0.7407407407407408,4442.999727272727,1.0
23,0.9064750499386123,0.9593023255813952,0.9767441860465116,5173.27496,1.0
24,0.9988934787795818,1.0,0.9444444444444444,7392.182400000001,1.0
25,0.9911477340144804,1.0,0.7777777777777777,5859.577800000001,1.0
26,0.9835122928919208,0.993827160493827,0.9198480531813864,17146.01862111801,1.0
27,0.9406883882173348,0.9591836734693877,0.7459968602825746,605.7619265957446,1.0
28,0.8873349377570917,0.9019607843137254,0.7338235294117645,8035.277282608697,1.0
29,0.9859116810433401,1.0,0.7777777777777778,8419.3056,1.0
30,0.7084770441109594,0.7465753424657534,0.3981735159817353,7973.167155963302,0.0
31,0.7702908298379618,0.8205128205128206,0.7459207459207461,622.8077212499999,1.0
32,0.982484732084807,1.0,0.7222222222222222,875.78028,1.0
33,0.9819673938979088,1.0,0.9444444444444444,10577.7774,1.0
34,0.3282631692113766,0.33783783783783783,0.2854729729729729,7214.008400000001,0.0
35,0.9279405070226924,0.9681528662420382,0.6264518546272011,6151.465546052632,1.0
36,0.7139683966705176,0.7294117647058826,0.5926470588235296,2868.558064516128,0.0
37,0.9395681573750327,0.9918533604887982,0.46286490156143917,6848.218971252567,1.0
38,0.9824658973480328,1.0,1.0,4650.6204,1.0
39,0.9792305686651471,1.0,0.9444444444444444,4932.2772,1.0
40,0.9358735969323849,0.9693877551020408,0.8309037900874635,9204.700341052632,1.0
41,0.9086311678629188,0.9469696969696969,0.8912655971479501,5683.127472000002,1.0
42,0.9940827411123189,1.0,0.7222222222222222,1823.6988000000001,1.0
43,0.9882557138516442,0.9961832061068703,0.9375841939829367,7089.660472796935,1.0
44,0.8521559947193666,0.9010416666666665,0.6237980769230768,14560.048092485551,1.0
45,0.9626094620317228,0.9797297297297299,0.7748552123552125,5062.8805572413785,1.0
46,0.744712815522157,0.792763157894737,0.4404239766081872,10408.578423236513,0.0
47,0.9757747828736107,1.0,1.0,6044.184000000001,1.0
48,0.9762786918006834,1.0,0.8823529411764706,20798.769,1.0
49,0.9906250000000001,1.0,0.8333333333333334,3066.5124,1.0
