Country,alpha,beta,gamma,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
Rwanda,0.5,0.05,0.6,0.7396972164170049,0.10512352217493084,0.15517926140806426,0.9613349606455112,1520387.9078892116
Rwanda,0.5,0.05,0.8,0.7396972164170049,0.10534128443039342,0.1549614991526017,0.9579943727898458,1520387.9078892116
Rwanda,0.5,0.05,1.0,0.7385795700642664,0.10820884426652289,0.15321158566921067,0.9548509585850479,1520387.9078892116
Rwanda,0.5,0.15,0.6,0.7403915303578895,0.10442920823404613,0.15517926140806437,0.9623302734236768,1520387.9078892116
Rwanda,0.5,0.15,0.8,0.7396972164170049,0.10534128443039342,0.1549614991526017,0.9592801714685041,1520387.9078892116
Rwanda,0.5,0.15,1.0,0.7385795700642664,0.10809299271371453,0.15332743722201903,0.9564100976293409,1520387.9078892116
Rwanda,0.5,0.3,0.6,0.7403915303578895,0.08650367626382874,0.17310479337828177,0.9635361331356853,1520387.9078892116
Rwanda,0.5,0.3,0.8,0.7396972164170049,0.10512352217493084,0.15517926140806426,0.9608379660214941,1520387.9078892116
Rwanda,0.5,0.3,1.0,0.7396972164170049,0.1069753463609761,0.15332743722201903,0.958299054548388,1520387.9078892116
Rwanda,0.6,0.05,0.6,0.7419706011184122,0.1030678997289861,0.1549614991526017,0.9644895297368465,1520387.9078892116
Rwanda,0.6,0.05,0.8,0.7419706011184122,0.10481781321237713,0.15321158566921067,0.960480824310048,1520387.9078892116
Rwanda,0.6,0.05,1.0,0.7377220677102719,0.10906634662051752,0.15321158566921056,0.9567087272642905,1520387.9078892116
Rwanda,0.6,0.15,0.6,0.7420011568205188,0.10281958177141687,0.15517926140806437,0.9656839050706455,1520387.9078892116
Rwanda,0.6,0.15,0.8,0.7419706011184122,0.10470196165956877,0.15332743722201903,0.9620237827244381,1520387.9078892116
Rwanda,0.6,0.15,1.0,0.7402237364556385,0.10656467787515078,0.15321158566921067,0.9585796941174421,1520387.9078892116
