Country,alpha,beta,gamma,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
Rwanda,0.5,0.05,0.6,73.96972164170049,10.512352217493085,15.517926140806427,0.9613349606455112,1520387.9078892116
Rwanda,0.5,0.05,0.8,73.96972164170049,10.534128443039343,15.49614991526017,0.9579943727898458,1520387.9078892116
Rwanda,0.5,0.05,1.0,73.85795700642664,10.820884426652288,15.321158566921067,0.9548509585850479,1520387.9078892116
Rwanda,0.5,0.15,0.6,74.03915303578896,10.442920823404613,15.517926140806438,0.9623302734236768,1520387.9078892116
Rwanda,0.5,0.15,0.8,73.96972164170049,10.534128443039343,15.49614991526017,0.9592801714685041,1520387.9078892116
Rwanda,0.5,0.15,1.0,73.85795700642664,10.809299271371453,15.332743722201903,0.9564100976293409,1520387.9078892116
Rwanda,0.5,0.3,0.6,74.03915303578896,8.650367626382874,17.310479337828177,0.9635361331356853,1520387.9078892116
Rwanda,0.5,0.3,0.8,73.96972164170049,10.512352217493085,15.517926140806427,0.9608379660214941,1520387.9078892116
Rwanda,0.5,0.3,1.0,73.96972164170049,10.69753463609761,15.332743722201903,0.958299054548388,1520387.9078892116
Rwanda,0.6,0.05,0.6,74.19706011184121,10.30678997289861,15.49614991526017,0.9644895297368465,1520387.9078892116
Rwanda,0.6,0.05,0.8,74.19706011184121,10.481781321237712,15.321158566921067,0.960480824310048,1520387.9078892116
Rwanda,0.6,0.05,1.0,73.7722067710272,10.906634662051752,15.321158566921056,0.9567087272642905,1520387.9078892116
Rwanda,0.6,0.15,0.6,74.20011568205189,10.281958177141687,15.517926140806438,0.9656839050706455,1520387.9078892116
Rwanda,0.6,0.15,0.8,74.19706011184121,10.470196165956876,15.332743722201903,0.9620237827244381,1520387.9078892116
Rwanda,0.6,0.15,1.0,74.02237364556386,10.656467787515078,15.321158566921067,0.9585796941174421,1520387.9078892116
Rwanda,0.6,0.3,0.6,74.20011568205189,10.281958177141687,15.517926140806438,0.9671309367250556,1520387.9078892116
Rwanda,0.6,0.3,0.8,74.19706011184121,10.30678997289861,15.49614991526017,0.9638931361880261,1520387.9078892116
Rwanda,0.6,0.3,1.0,74.19706011184121,10.481781321237712,15.321158566921067,0.9608464424202988,1520387.9078892116
Rwanda,0.7,0.05,0.6,74.19706011184121,10.470196165956876,15.332743722201903,0.967644098828182,1520387.9078892116
Rwanda,0.7,0.05,0.8,74.19706011184121,10.481781321237712,15.321158566921067,0.9629672758302503,1520387.9078892116
Rwanda,0.7,0.05,1.0,73.9331694172901,10.745672015788827,15.321158566921078,0.9585664959435334,1520387.9078892116
Rwanda,0.7,0.15,0.6,74.20011568205189,10.303734402687946,15.49614991526017,0.969037536717614,1520387.9078892116
Rwanda,0.7,0.15,0.8,74.19706011184121,10.481781321237712,15.321158566921067,0.964767393980372,1520387.9078892116
Rwanda,0.7,0.15,1.0,73.98475577205721,10.694085661021715,15.321158566921078,0.9607492906055437,1520387.9078892116
Rwanda,0.7,0.3,0.6,74.20011568205189,10.281958177141687,15.517926140806438,0.970725740314426,1520387.9078892116
Rwanda,0.7,0.3,0.8,74.19706011184121,10.470196165956876,15.332743722201903,0.9669483063545581,1520387.9078892116
Rwanda,0.7,0.3,1.0,74.19706011184121,10.481781321237712,15.321158566921067,0.9633938302922096,1520387.9078892116
Rwanda,0.8,0.05,0.6,74.19706011184121,10.481781321237712,15.321158566921067,0.9707986679195174,1520387.9078892116
Rwanda,0.8,0.05,0.8,73.98475577205721,10.694085661021715,15.321158566921078,0.9654537273504527,1520387.9078892116
Rwanda,0.8,0.05,1.0,73.90706831520025,10.771773117878682,15.321158566921067,0.9604242646227762,1520387.9078892116
Rwanda,0.8,0.15,0.6,74.19706011184121,10.470196165956876,15.332743722201903,0.9723911683645826,1520387.9078892116
Rwanda,0.8,0.15,0.8,73.99847959207166,10.680361841007276,15.321158566921056,0.9675110052363062,1520387.9078892116
Rwanda,0.8,0.15,1.0,73.95865466996734,10.72018676311157,15.321158566921078,0.9629188870936449,1520387.9078892116
Rwanda,0.8,0.3,0.6,74.20011568205189,10.303734402687946,15.49614991526017,0.9743205439037961,1520387.9078892116
Rwanda,0.8,0.3,0.8,74.19706011184121,10.481781321237712,15.321158566921067,0.9700034765210902,1520387.9078892116
Rwanda,0.8,0.3,1.0,73.99847959207166,10.680361841007276,15.321158566921056,0.9659412181641205,1520387.9078892116
Rwanda,0.9,0.05,0.6,73.99847959207166,10.680361841007276,15.321158566921056,0.9739532370108529,1520387.9078892116
Rwanda,0.9,0.05,0.8,73.95865466996734,10.72018676311157,15.321158566921078,0.9679401788706553,1520387.9078892116
Rwanda,0.9,0.05,1.0,73.90706831520025,10.771773117878682,15.321158566921067,0.9622820333020189,1520387.9078892116
Rwanda,0.9,0.15,0.6,74.19706011184121,10.481781321237712,15.321158566921067,0.9757448000115512,1520387.9078892116
Rwanda,0.9,0.15,0.8,73.99847959207166,10.680361841007276,15.321158566921056,0.9702546164922403,1520387.9078892116
Rwanda,0.9,0.15,1.0,73.90706831520025,10.771773117878682,15.321158566921067,0.9650884835817464,1520387.9078892116
Rwanda,0.9,0.3,0.6,74.20011568205189,10.467140595746214,15.332743722201903,0.9779153474931666,1520387.9078892116
Rwanda,0.9,0.3,0.8,73.99847959207166,10.680361841007276,15.321158566921056,0.9730586466876222,1520387.9078892116
Rwanda,0.9,0.3,1.0,73.9723784899818,10.706462943097133,15.321158566921067,0.9684886060360314,1520387.9078892116
North-West Nigeria,0.5,0.05,0.6,51.962182841473314,47.12047469875459,0.9173424597720969,0.6688016616836735,3284361.25
North-West Nigeria,0.5,0.05,0.8,50.865597034062006,48.21706050616589,0.9173424597720969,0.6293822461185786,3284361.25
North-West Nigeria,0.5,0.05,1.0,50.30101054235312,48.78164699787478,0.9173424597720969,0.5969658240546468,3284361.25
North-West Nigeria,0.5,0.15,0.6,52.48941595683031,46.5932415833976,0.9173424597720969,0.6848584758369833,3284361.25
North-West Nigeria,0.5,0.15,0.8,51.61327543276732,47.46938210746058,0.9173424597720969,0.6488668355384184,3284361.25
North-West Nigeria,0.5,0.15,1.0,50.57840237845544,48.504255161772456,0.9173424597720969,0.6192692327843937,3284361.25
North-West Nigeria,0.5,0.3,0.6,53.08529346075128,45.73967988387974,1.1750266553689825,0.7043119237534933,3284361.25
North-West Nigeria,0.5,0.3,0.8,52.36582540855584,46.71683213167206,0.9173424597720969,0.6724731650278396,3284361.25
North-West Nigeria,0.5,0.3,1.0,51.77793941450292,47.30471812572499,0.9173424597720969,0.6462906702838948,3284361.25
North-West Nigeria,0.6,0.05,0.6,52.488643204152595,46.594014336075304,0.9173424597720969,0.661179984241714,3284361.25
