Country,Connected HHs,Mean m(R),Tier 1 Share,Finance Lift Proxy,Financing Optimal,Hardening Optimal,No Viable
Rwanda,2661,0.965,0.489,0.183,0.742,0.105,0.153
Nigeria (NW sample),1702,0.639,0.2370000034570694,0.236,0.535,0.453,0.012
